trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1020,18:17:00,18:17:00,1,1,"",0,0,0.00,1
1020,18:20:00,18:20:00,2,2,"",0,0,966.87,1
1020,18:35:00,18:35:00,3,3,"",0,0,21013.88,1
1020,18:44:00,18:44:00,4,4,"",0,0,30117.29,1
1020,18:53:00,18:53:00,5,5,"",0,0,41747.97,1
1020,19:07:00,19:07:00,6,6,"",0,0,58957.22,1
1020,19:15:00,19:15:00,7,7,"",0,0,69127.32,1
1020,19:21:00,19:21:00,8,8,"",0,0,76262.30,1
1020,19:49:00,19:49:00,9,9,"",0,0,99761.04,1
2020,05:55:00,05:55:00,1,1,"",0,0,0.00,1
2020,05:58:00,05:58:00,2,2,"",0,0,966.88,1
2020,06:13:00,06:13:00,3,3,"",0,0,21013.90,1
2020,06:22:00,06:22:00,4,4,"",0,0,30117.30,1
2020,06:31:00,06:31:00,5,5,"",0,0,41747.97,1
2020,06:47:00,06:47:00,6,6,"",0,0,58957.21,1
3020,08:20:00,08:20:00,1,1,"",0,0,0.00,1
3020,08:23:00,08:23:00,2,2,"",0,0,966.87,1
3020,08:38:00,08:38:00,3,3,"",0,0,21013.88,1
3020,08:47:00,08:47:00,4,4,"",0,0,30117.29,1
3020,08:56:00,08:56:00,5,5,"",0,0,41747.97,1
3020,09:10:00,09:10:00,6,6,"",0,0,58957.22,1
3020,09:18:00,09:18:00,7,7,"",0,0,69127.32,1
3020,09:24:00,09:24:00,8,8,"",0,0,76262.30,1
3020,09:52:00,09:52:00,9,9,"",0,0,99761.04,1
4010,08:10:00,08:10:00,1,1,"",0,0,0.00,1
4010,08:13:00,08:13:00,2,2,"",0,0,966.87,1
4010,08:28:00,08:28:00,3,3,"",0,0,21013.88,1
4010,08:37:00,08:37:00,4,4,"",0,0,30117.29,1
4010,08:46:00,08:46:00,5,5,"",0,0,41747.97,1
4010,09:00:00,09:00:00,6,6,"",0,0,58957.22,1
4010,09:08:00,09:08:00,7,7,"",0,0,69127.32,1
4010,09:14:00,09:14:00,8,8,"",0,0,76262.30,1
4010,09:42:00,09:42:00,9,9,"",0,0,99761.04,1
4080,08:10:00,08:10:00,1,1,"",0,0,0.00,1
4080,08:13:00,08:13:00,2,2,"",0,0,966.87,1
4080,08:28:00,08:28:00,3,3,"",0,0,21013.88,1
4080,08:37:00,08:37:00,4,4,"",0,0,30117.29,1
4080,08:46:00,08:46:00,5,5,"",0,0,41747.97,1
4080,09:00:00,09:00:00,6,6,"",0,0,58957.22,1
4080,09:08:00,09:08:00,7,7,"",0,0,69127.32,1
4080,09:14:00,09:14:00,8,8,"",0,0,76262.30,1
4080,09:42:00,09:42:00,9,9,"",0,0,99761.04,1
5020,16:47:00,16:47:00,1,1,"",0,0,0.00,1
5020,16:50:00,16:50:00,2,2,"",0,0,966.88,1
5020,17:05:00,17:05:00,3,3,"",0,0,21013.90,1
5020,17:14:00,17:14:00,4,4,"",0,0,30117.30,1
5020,17:23:00,17:23:00,5,5,"",0,0,41747.97,1
5020,17:39:00,17:39:00,6,6,"",0,0,58957.21,1
6020,20:43:00,20:43:00,9,1,"",0,0,0.00,1
6020,21:04:00,21:04:00,8,2,"",0,0,23514.55,1
6020,21:11:00,21:11:00,7,3,"",0,0,30649.27,1
6020,21:21:00,21:21:00,6,4,"",0,0,40812.20,1
6020,21:33:00,21:33:00,5,5,"",0,0,58018.84,1
6020,21:42:00,21:42:00,4,6,"",0,0,69648.68,1
6020,21:51:00,21:51:00,3,7,"",0,0,78752.76,1
6020,22:07:00,22:07:00,2,8,"",0,0,98797.16,1
6020,22:13:00,22:13:00,1,9,"",0,0,99740.91,1
7010,11:57:00,11:57:00,9,1,"",0,0,0.00,1
7010,12:20:00,12:20:00,8,2,"",0,0,23514.55,1
7010,12:25:00,12:25:00,7,3,"",0,0,30649.27,1
7010,12:36:00,12:36:00,6,4,"",0,0,40812.20,1
7010,12:48:00,12:48:00,5,5,"",0,0,58018.84,1
7010,12:57:00,12:57:00,4,6,"",0,0,69648.68,1
7010,13:06:00,13:06:00,3,7,"",0,0,78752.76,1
7010,13:22:00,13:22:00,2,8,"",0,0,98797.16,1
7010,13:28:00,13:28:00,1,9,"",0,0,99740.91,1
7080,11:57:00,11:57:00,9,1,"",0,0,0.00,1
7080,12:20:00,12:20:00,8,2,"",0,0,23514.55,1
7080,12:25:00,12:25:00,7,3,"",0,0,30649.27,1
7080,12:36:00,12:36:00,6,4,"",0,0,40812.20,1
7080,12:48:00,12:48:00,5,5,"",0,0,58018.84,1
7080,12:57:00,12:57:00,4,6,"",0,0,69648.68,1
7080,13:06:00,13:06:00,3,7,"",0,0,78752.76,1
7080,13:22:00,13:22:00,2,8,"",0,0,98797.16,1
7080,13:28:00,13:28:00,1,9,"",0,0,99740.91,1
8010,12:30:00,12:30:00,1,1,"",0,0,0.00,1
8010,12:33:00,12:33:00,2,2,"",0,0,966.87,1
8010,12:48:00,12:48:00,3,3,"",0,0,21013.88,1
8010,12:57:00,12:57:00,4,4,"",0,0,30117.29,1
8010,13:06:00,13:06:00,5,5,"",0,0,41747.97,1
8010,13:19:00,13:19:00,6,6,"",0,0,58957.22,1
8010,13:27:00,13:27:00,7,7,"",0,0,69127.32,1
8010,13:36:00,13:36:00,8,8,"",0,0,76262.30,1
8010,14:04:00,14:04:00,9,9,"",0,0,99761.04,1
8080,12:30:00,12:30:00,1,1,"",0,0,0.00,1
8080,12:33:00,12:33:00,2,2,"",0,0,966.87,1
8080,12:48:00,12:48:00,3,3,"",0,0,21013.88,1
8080,12:57:00,12:57:00,4,4,"",0,0,30117.29,1
8080,13:06:00,13:06:00,5,5,"",0,0,41747.97,1
8080,13:19:00,13:19:00,6,6,"",0,0,58957.22,1
8080,13:27:00,13:27:00,7,7,"",0,0,69127.32,1
8080,13:36:00,13:36:00,8,8,"",0,0,76262.30,1
8080,14:04:00,14:04:00,9,9,"",0,0,99761.04,1
9010,16:00:00,16:00:00,1,1,"",0,0,0.00,1
9010,16:03:00,16:03:00,2,2,"",0,0,966.88,1
9010,16:18:00,16:18:00,3,3,"",0,0,21013.90,1
9010,16:27:00,16:27:00,4,4,"",0,0,30117.30,1
9010,16:36:00,16:36:00,5,5,"",0,0,41747.97,1
9010,16:52:00,16:52:00,6,6,"",0,0,58957.21,1
9080,16:00:00,16:00:00,1,1,"",0,0,0.00,1
9080,16:03:00,16:03:00,2,2,"",0,0,966.88,1
9080,16:18:00,16:18:00,3,3,"",0,0,21013.90,1
9080,16:27:00,16:27:00,4,4,"",0,0,30117.30,1
9080,16:36:00,16:36:00,5,5,"",0,0,41747.97,1
9080,16:52:00,16:52:00,6,6,"",0,0,58957.21,1
10020,07:05:00,07:05:00,6,1,"",0,0,0.00,1
10020,07:17:00,07:17:00,5,2,"",0,0,17226.63,1
10020,07:26:00,07:26:00,4,3,"",0,0,28856.47,1
10020,07:35:00,07:35:00,3,4,"",0,0,37960.55,1
10020,07:51:00,07:51:00,2,5,"",0,0,58004.95,1
10020,07:57:00,07:57:00,1,6,"",0,0,58948.70,1
11020,08:10:00,08:10:00,6,1,"",0,0,0.00,1
11020,08:22:00,08:22:00,5,2,"",0,0,17226.63,1
11020,08:31:00,08:31:00,4,3,"",0,0,28856.47,1
11020,08:40:00,08:40:00,3,4,"",0,0,37960.55,1
11020,08:56:00,08:56:00,2,5,"",0,0,58004.95,1
11020,09:02:00,09:02:00,1,6,"",0,0,58948.70,1
12020,11:35:00,11:35:00,1,1,"",0,0,0.00,1
12020,11:38:00,11:38:00,2,2,"",0,0,966.87,1
12020,11:53:00,11:53:00,3,3,"",0,0,21013.88,1
12020,12:02:00,12:02:00,4,4,"",0,0,30117.29,1
12020,12:11:00,12:11:00,5,5,"",0,0,41747.97,1
12020,12:25:00,12:25:00,6,6,"",0,0,58957.22,1
12020,12:33:00,12:33:00,7,7,"",0,0,69127.32,1
12020,12:39:00,12:39:00,8,8,"",0,0,76262.30,1
12020,13:07:00,13:07:00,9,9,"",0,0,99761.04,1
13020,07:35:00,07:35:00,1,1,"",0,0,0.00,1
13020,07:38:00,07:38:00,2,2,"",0,0,966.87,1
13020,07:53:00,07:53:00,3,3,"",0,0,21014.04,1
13020,08:02:00,08:02:00,4,4,"",0,0,30117.52,1
13020,08:11:00,08:11:00,5,5,"",0,0,41748.17,1
13020,08:25:00,08:25:00,6,6,"",0,0,58957.42,1
13020,08:33:00,08:33:00,7,7,"",0,0,69127.48,1
13020,08:39:00,08:39:00,8,8,"",0,0,76262.52,1
13020,09:07:00,09:07:00,9,9,"",0,0,99763.09,1
14010,21:45:00,21:45:00,9,1,"",0,0,0.00,1
14010,22:06:00,22:06:00,8,2,"",0,0,23514.55,1
14010,22:13:00,22:13:00,7,3,"",0,0,30649.27,1
14010,22:24:00,22:24:00,6,4,"",0,0,40812.20,1
14010,22:36:00,22:36:00,5,5,"",0,0,58018.84,1
14010,22:45:00,22:45:00,4,6,"",0,0,69648.68,1
14010,22:54:00,22:54:00,3,7,"",0,0,78752.76,1
14010,23:10:00,23:10:00,2,8,"",0,0,98797.16,1
14010,23:18:00,23:18:00,1,9,"",0,0,99740.91,1
14080,21:45:00,21:45:00,9,1,"",0,0,0.00,1
14080,22:06:00,22:06:00,8,2,"",0,0,23514.55,1
14080,22:13:00,22:13:00,7,3,"",0,0,30649.27,1
14080,22:24:00,22:24:00,6,4,"",0,0,40812.20,1
14080,22:36:00,22:36:00,5,5,"",0,0,58018.84,1
14080,22:45:00,22:45:00,4,6,"",0,0,69648.68,1
14080,22:54:00,22:54:00,3,7,"",0,0,78752.76,1
14080,23:10:00,23:10:00,2,8,"",0,0,98797.16,1
14080,23:18:00,23:18:00,1,9,"",0,0,99740.91,1
15020,17:05:00,17:05:00,6,1,"",0,0,0.00,1
15020,17:17:00,17:17:00,5,2,"",0,0,17226.63,1
15020,17:26:00,17:26:00,4,3,"",0,0,28856.47,1
15020,17:35:00,17:35:00,3,4,"",0,0,37960.55,1
15020,17:51:00,17:51:00,2,5,"",0,0,58004.95,1
15020,17:57:00,17:57:00,1,6,"",0,0,58948.70,1
16010,16:05:00,16:05:00,6,1,"",0,0,0.00,1
16010,16:17:00,16:17:00,5,2,"",0,0,17226.63,1
16010,16:26:00,16:26:00,4,3,"",0,0,28856.47,1
16010,16:35:00,16:35:00,3,4,"",0,0,37960.55,1
16010,16:51:00,16:51:00,2,5,"",0,0,58004.95,1
16010,16:57:00,16:57:00,1,6,"",0,0,58948.70,1
16080,16:05:00,16:05:00,6,1,"",0,0,0.00,1
16080,16:17:00,16:17:00,5,2,"",0,0,17226.63,1
16080,16:26:00,16:26:00,4,3,"",0,0,28856.47,1
16080,16:35:00,16:35:00,3,4,"",0,0,37960.55,1
16080,16:51:00,16:51:00,2,5,"",0,0,58004.95,1
16080,16:57:00,16:57:00,1,6,"",0,0,58948.70,1
17010,10:05:00,10:05:00,1,1,"",0,0,0.00,1
17010,10:08:00,10:08:00,2,2,"",0,0,966.87,1
17010,10:23:00,10:23:00,3,3,"",0,0,21013.88,1
17010,10:32:00,10:32:00,4,4,"",0,0,30117.29,1
17010,10:41:00,10:41:00,5,5,"",0,0,41747.97,1
17010,10:56:00,10:56:00,6,6,"",0,0,58957.22,1
17010,11:04:00,11:04:00,7,7,"",0,0,69127.32,1
17010,11:10:00,11:10:00,8,8,"",0,0,76262.30,1
17010,11:38:00,11:38:00,9,9,"",0,0,99761.04,1
17080,10:05:00,10:05:00,1,1,"",0,0,0.00,1
17080,10:08:00,10:08:00,2,2,"",0,0,966.87,1
17080,10:23:00,10:23:00,3,3,"",0,0,21013.88,1
17080,10:32:00,10:32:00,4,4,"",0,0,30117.29,1
17080,10:41:00,10:41:00,5,5,"",0,0,41747.97,1
17080,10:56:00,10:56:00,6,6,"",0,0,58957.22,1
17080,11:04:00,11:04:00,7,7,"",0,0,69127.32,1
17080,11:10:00,11:10:00,8,8,"",0,0,76262.30,1
17080,11:38:00,11:38:00,9,9,"",0,0,99761.04,1
18020,19:00:00,19:00:00,1,1,"",0,0,0.00,1
18020,19:03:00,19:03:00,2,2,"",0,0,966.87,1
18020,19:18:00,19:18:00,3,3,"",0,0,21013.88,1
18020,19:27:00,19:27:00,4,4,"",0,0,30117.29,1
18020,19:36:00,19:36:00,5,5,"",0,0,41747.97,1
18020,19:50:00,19:50:00,6,6,"",0,0,58957.22,1
18020,19:58:00,19:58:00,7,7,"",0,0,69127.32,1
18020,20:08:00,20:08:00,8,8,"",0,0,76262.30,1
18020,20:36:00,20:36:00,9,9,"",0,0,99761.04,1
19010,14:27:00,14:27:00,1,1,"",0,0,0.00,1
19010,14:30:00,14:30:00,2,2,"",0,0,966.88,1
19010,14:45:00,14:45:00,3,3,"",0,0,21013.90,1
19010,14:54:00,14:54:00,4,4,"",0,0,30117.30,1
19010,15:03:00,15:03:00,5,5,"",0,0,41747.97,1
19010,15:19:00,15:19:00,6,6,"",0,0,58957.21,1
19080,14:27:00,14:27:00,1,1,"",0,0,0.00,1
19080,14:30:00,14:30:00,2,2,"",0,0,966.88,1
19080,14:45:00,14:45:00,3,3,"",0,0,21013.90,1
19080,14:54:00,14:54:00,4,4,"",0,0,30117.30,1
19080,15:03:00,15:03:00,5,5,"",0,0,41747.97,1
19080,15:19:00,15:19:00,6,6,"",0,0,58957.21,1
20020,06:35:00,06:35:00,1,1,"",0,0,0.00,1
20020,06:38:00,06:38:00,2,2,"",0,0,966.88,1
20020,06:53:00,06:53:00,3,3,"",0,0,21013.90,1
20020,07:02:00,07:02:00,4,4,"",0,0,30117.30,1
20020,07:11:00,07:11:00,5,5,"",0,0,41747.97,1
20020,07:27:00,07:27:00,6,6,"",0,0,58957.21,1
21020,15:26:00,15:26:00,1,1,"",0,0,0.00,1
21020,15:29:00,15:29:00,2,2,"",0,0,966.88,1
21020,15:44:00,15:44:00,3,3,"",0,0,21013.90,1
21020,15:53:00,15:53:00,4,4,"",0,0,30117.30,1
21020,16:02:00,16:02:00,5,5,"",0,0,41747.97,1
21020,16:18:00,16:18:00,6,6,"",0,0,58957.21,1
22010,17:30:00,17:30:00,6,1,"",0,0,0.00,1
22010,17:42:00,17:42:00,5,2,"",0,0,17226.63,1
22010,17:51:00,17:51:00,4,3,"",0,0,28856.47,1
22010,18:00:00,18:00:00,3,4,"",0,0,37960.55,1
22010,18:16:00,18:16:00,2,5,"",0,0,58004.95,1
22010,18:22:00,18:22:00,1,6,"",0,0,58948.70,1
23010,19:30:00,19:30:00,1,1,"",0,0,0.00,1
23010,19:33:00,19:33:00,2,2,"",0,0,966.87,1
23010,19:48:00,19:48:00,3,3,"",0,0,21013.88,1
23010,19:57:00,19:57:00,4,4,"",0,0,30117.29,1
23010,20:06:00,20:06:00,5,5,"",0,0,41747.97,1
23010,20:21:00,20:21:00,6,6,"",0,0,58957.22,1
23010,20:29:00,20:29:00,7,7,"",0,0,69127.32,1
23010,20:35:00,20:35:00,8,8,"",0,0,76262.30,1
23010,21:03:00,21:03:00,9,9,"",0,0,99761.04,1
23080,19:30:00,19:30:00,1,1,"",0,0,0.00,1
23080,19:33:00,19:33:00,2,2,"",0,0,966.87,1
23080,19:48:00,19:48:00,3,3,"",0,0,21013.88,1
23080,19:57:00,19:57:00,4,4,"",0,0,30117.29,1
23080,20:06:00,20:06:00,5,5,"",0,0,41747.97,1
23080,20:21:00,20:21:00,6,6,"",0,0,58957.22,1
23080,20:29:00,20:29:00,7,7,"",0,0,69127.32,1
23080,20:35:00,20:35:00,8,8,"",0,0,76262.30,1
23080,21:03:00,21:03:00,9,9,"",0,0,99761.04,1
24020,17:55:00,17:55:00,6,1,"",0,0,0.00,1
24020,18:07:00,18:07:00,5,2,"",0,0,17226.63,1
24020,18:16:00,18:16:00,4,3,"",0,0,28856.47,1
24020,18:25:00,18:25:00,3,4,"",0,0,37960.55,1
24020,18:41:00,18:41:00,2,5,"",0,0,58004.95,1
24020,18:47:00,18:47:00,1,6,"",0,0,58948.70,1
25020,21:25:00,21:25:00,9,1,"",0,0,0.00,1
25020,21:46:00,21:46:00,8,2,"",0,0,23514.55,1
25020,21:53:00,21:53:00,7,3,"",0,0,30649.27,1
25020,22:03:00,22:03:00,6,4,"",0,0,40812.20,1
25020,22:15:00,22:15:00,5,5,"",0,0,58018.84,1
25020,22:24:00,22:24:00,4,6,"",0,0,69648.68,1
25020,22:33:00,22:33:00,3,7,"",0,0,78752.76,1
25020,22:50:00,22:50:00,2,8,"",0,0,98797.16,1
25020,22:57:00,22:57:00,1,9,"",0,0,99740.91,1
26020,10:39:00,10:39:00,9,1,"",0,0,0.00,1
26020,11:00:00,11:00:00,8,2,"",0,0,23514.15,1
26020,11:07:00,11:07:00,7,3,"",0,0,30669.27,1
26020,11:17:00,11:17:00,6,4,"",0,0,40851.89,1
26020,11:29:00,11:29:00,5,5,"",0,0,58078.19,1
26020,11:38:00,11:38:00,4,6,"",0,0,69727.99,1
26020,11:47:00,11:47:00,3,7,"",0,0,78852.24,1
26020,12:03:00,12:03:00,2,8,"",0,0,98916.83,1
26020,12:11:00,12:11:00,1,9,"",0,0,99880.58,1
27010,14:20:00,14:20:00,9,1,"",0,0,0.00,1
27010,14:41:00,14:41:00,8,2,"",0,0,23514.55,1
27010,14:48:00,14:48:00,7,3,"",0,0,30649.27,1
27010,14:59:00,14:59:00,6,4,"",0,0,40812.20,1
27010,15:11:00,15:11:00,5,5,"",0,0,58018.84,1
27010,15:20:00,15:20:00,4,6,"",0,0,69648.68,1
27010,15:29:00,15:29:00,3,7,"",0,0,78752.76,1
27010,15:45:00,15:45:00,2,8,"",0,0,98797.16,1
27010,15:52:00,15:52:00,1,9,"",0,0,99740.91,1
27080,14:20:00,14:20:00,9,1,"",0,0,0.00,1
27080,14:41:00,14:41:00,8,2,"",0,0,23514.55,1
27080,14:48:00,14:48:00,7,3,"",0,0,30649.27,1
27080,14:59:00,14:59:00,6,4,"",0,0,40812.20,1
27080,15:11:00,15:11:00,5,5,"",0,0,58018.84,1
27080,15:20:00,15:20:00,4,6,"",0,0,69648.68,1
27080,15:29:00,15:29:00,3,7,"",0,0,78752.76,1
27080,15:45:00,15:45:00,2,8,"",0,0,98797.16,1
27080,15:52:00,15:52:00,1,9,"",0,0,99740.91,1
28020,13:50:00,13:50:00,9,1,"",0,0,0.00,1
28020,14:11:00,14:11:00,8,2,"",0,0,23514.55,1
28020,14:18:00,14:18:00,7,3,"",0,0,30649.27,1
28020,14:28:00,14:28:00,6,4,"",0,0,40812.20,1
28020,14:40:00,14:40:00,5,5,"",0,0,58018.84,1
28020,14:49:00,14:49:00,4,6,"",0,0,69648.68,1
28020,14:58:00,14:58:00,3,7,"",0,0,78752.76,1
28020,15:14:00,15:14:00,2,8,"",0,0,98797.16,1
28020,15:22:00,15:22:00,1,9,"",0,0,99740.91,1
29020,11:30:00,11:30:00,9,1,"",0,0,0.00,1
29020,11:51:00,11:51:00,8,2,"",0,0,23514.55,1
29020,11:58:00,11:58:00,7,3,"",0,0,30649.27,1
29020,12:08:00,12:08:00,6,4,"",0,0,40812.20,1
29020,12:20:00,12:20:00,5,5,"",0,0,58018.84,1
29020,12:29:00,12:29:00,4,6,"",0,0,69648.68,1
29020,12:38:00,12:38:00,3,7,"",0,0,78752.76,1
29020,12:53:00,12:53:00,2,8,"",0,0,98797.16,1
29020,13:01:00,13:01:00,1,9,"",0,0,99740.91,1
30010,10:00:00,10:00:00,9,1,"",0,0,0.00,1
30010,10:21:00,10:21:00,8,2,"",0,0,23514.55,1
30010,10:28:00,10:28:00,7,3,"",0,0,30649.27,1
30010,10:39:00,10:39:00,6,4,"",0,0,40812.20,1
30010,10:51:00,10:51:00,5,5,"",0,0,58018.84,1
30010,11:00:00,11:00:00,4,6,"",0,0,69648.68,1
30010,11:09:00,11:09:00,3,7,"",0,0,78752.76,1
30010,11:25:00,11:25:00,2,8,"",0,0,98797.16,1
30010,11:33:00,11:33:00,1,9,"",0,0,99740.91,1
30080,10:00:00,10:00:00,9,1,"",0,0,0.00,1
30080,10:21:00,10:21:00,8,2,"",0,0,23514.55,1
30080,10:28:00,10:28:00,7,3,"",0,0,30649.27,1
30080,10:39:00,10:39:00,6,4,"",0,0,40812.20,1
30080,10:51:00,10:51:00,5,5,"",0,0,58018.84,1
30080,11:00:00,11:00:00,4,6,"",0,0,69648.68,1
30080,11:09:00,11:09:00,3,7,"",0,0,78752.76,1
30080,11:25:00,11:25:00,2,8,"",0,0,98797.16,1
30080,11:33:00,11:33:00,1,9,"",0,0,99740.91,1
