trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10020,HART,3,"Southbound to New Haven Union Station","CTrail 4451",1,445102,shp-HART-53,1,0
1020,HART,3,"Northbound to Springfield","CTrail 4414",0,441402,shp-HART-09,1,0
11020,HART,3,"Southbound to New Haven Union Station","CTrail 4453",1,445302,shp-HART-59,1,0
12020,HART,3,"Northbound to Springfield","CTrail 4406",0,440602,shp-HART-01,1,0
13020,HART,3,"Northbound to Springfield","CTrail 4400",0,440002,shp-HART-17,1,0
14010,HART,2,"Southbound to New Haven Union Station","CTrail 6411",1,641101,shp-HART-64,1,0
14080,HART,1,"Southbound to New Haven Union Station","CTrail 6411",1,641108,shp-HART-64,1,0
15020,HART,3,"Southbound to New Haven Union Station","CTrail 4461",1,446102,shp-HART-57,1,0
16010,HART,2,"Southbound to New Haven Union Station","CTrail 6457",1,645701,shp-HART-52,1,0
16080,HART,1,"Southbound to New Haven Union Station","CTrail 6457",1,645708,shp-HART-52,1,0
17010,HART,2,"Northbound to Springfield","CTrail 6402",0,640201,shp-HART-10,1,0
17080,HART,1,"Northbound to Springfield","CTrail 6402",0,640208,shp-HART-10,1,0
18020,HART,3,"Northbound to Springfield","CTrail 4466",0,446602,shp-HART-03,1,0
19010,HART,2,"Northbound to Hartford","CTrail 6456",0,645601,shp-HART-11,1,0
19080,HART,1,"Northbound to Hartford","CTrail 6456",0,645608,shp-HART-11,1,0
20020,HART,3,"Northbound to Hartford","CTrail 4452",0,445202,shp-HART-02,1,0
2020,HART,3,"Northbound to Hartford","CTrail 4450",0,445002,shp-HART-14,1,0
21020,HART,3,"Northbound to Hartford","CTrail 4458",0,445802,shp-HART-12,1,0
22010,HART,2,"Southbound to New Haven Union Station","CTrail 6459",1,645901,shp-HART-58,1,0
23010,HART,2,"Northbound to Springfield","CTrail 6410",0,641001,shp-HART-13,1,0
23080,HART,1,"Northbound to Springfield","CTrail 6410",0,641008,shp-HART-13,1,0
24020,HART,3,"Southbound to New Haven Union Station","CTrail 4463",1,446302,shp-HART-54,1,0
25020,HART,3,"Southbound to New Haven Union Station","CTrail 4415",1,441502,shp-HART-60,1,0
26020,HART,3,"Southbound to New Haven Union Station","CTrail 4403",1,440302,shp-HART-65,1,0
27010,HART,2,"Southbound to New Haven Union Station","CTrail 6455",1,645501,shp-HART-55,1,0
27080,HART,1,"Southbound to New Haven Union Station","CTrail 6455",1,645508,shp-HART-55,1,0
28020,HART,3,"Southbound to New Haven Union Station","CTrail 4407",1,440702,shp-HART-62,1,0
29020,HART,3,"Southbound to New Haven Union Station","CTrail 4405",1,440502,shp-HART-56,1,0
30010,HART,2,"Southbound to New Haven Union Station","CTrail 6401",1,640101,shp-HART-63,1,0
30080,HART,1,"Southbound to New Haven Union Station","CTrail 6401",1,640108,shp-HART-63,1,0
3020,HART,3,"Northbound to Springfield","CTrail 4404",0,440402,shp-HART-07,1,0
4010,HART,2,"Northbound to Springfield","CTrail 6400",0,640001,shp-HART-05,1,0
4080,HART,1,"Northbound to Springfield","CTrail 6400",0,640008,shp-HART-05,1,0
5020,HART,3,"Northbound to Hartford","CTrail 4462",0,446202,shp-HART-04,1,0
6020,HART,3,"Southbound to New Haven Union Station","CTrail 4467",1,446702,shp-HART-61,1,0
7010,HART,2,"Southbound to New Haven Union Station","CTrail 6403",1,640301,shp-HART-51,1,0
7080,HART,1,"Southbound to New Haven Union Station","CTrail 6403",1,640308,shp-HART-51,1,0
8010,HART,2,"Northbound to Springfield","CTrail 6454",0,645401,shp-HART-08,1,0
8080,HART,1,"Northbound to Springfield","CTrail 6454",0,645408,shp-HART-08,1,0
9010,HART,2,"Northbound to Hartford","CTrail 6458",0,645801,shp-HART-06,1,0
9080,HART,1,"Northbound to Hartford","CTrail 6458",0,645808,shp-HART-06,1,0
