route_id,service_id,trip_id,trip_headsign,trip_short_name
SLET,S0,3034,Eastbound,3034
SLET,S0,3604,Eastbound,3604
SLET,S0,3610,Eastbound,3610
SLET,S0,3613,Westbound,3613
SLET,S0,3618,Eastbound,3618
SLET,S0,3621,Westbound,3621
SLET,S0,3629,Westbound,3629
SLET,S0,3637,Westbound,3637
SLET,S0,3638,Eastbound,3638
SLET,S0,3645,Westbound,3645
SLET,S0,3652,Eastbound,3652
SLET,S0,3657,Westbound,3657
SLET,S0,3661,Westbound,3661
SLET,S0,3690,Eastbound,3690
SLET,S0,3692,Eastbound,3692
SLET,S0,3699,Westbound,3699
SLET,S1,1600,Eastbound,1600
SLET,S1,1602,Eastbound,1602
SLET,S1,1604,Eastbound,1604
SLET,S1,1606,Eastbound,1606
SLET,S1,1610,Eastbound,1610
SLET,S1,1618,Eastbound,1618
SLET,S1,1627,Westbound,1627
SLET,S1,1632,Eastbound,1632
SLET,S1,1634,Eastbound,1634
SLET,S1,1637,Westbound,1637
SLET,S1,1638,Eastbound,1638
SLET,S1,1645,Westbound,1645
SLET,S1,1646,Eastbound,1646
SLET,S1,1649,Westbound,1649
SLET,S1,1652,Eastbound,1652
SLET,S1,1659,Westbound,1659
SLET,S1,1667,Westbound,1667
SLET,S1,1673,Westbound,1673
SLET,S1,1685,Westbound,1685
SLET,S1,1687,Westbound,1687
SLET,S1,1693,Westbound,1693
SLET,S1,1697,Westbound,1697
SLET,S1,1699,Westbound,1699
