service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BPPB2-BP_B2-Weekday-02-SDon,1,1,1,1,1,0,0,20220329,20220624
BPPB2-BP_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
BPPB2-BP_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
CPPB2-CP_B2-Weekday-02-SDon,1,1,1,1,1,0,0,20220329,20220624
CPPB2-CP_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
CPPB2-CP_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
ECPB2-EC_B2-Weekday-02-SDon,1,1,1,1,1,0,0,20220329,20220624
ECPB2-EC_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
ECPB2-EC_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
FRPB2-FR_B2-Weekday-02-SDon,1,1,1,1,1,0,0,20220329,20220624
FRPB2-FR_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
FRPB2-FR_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
JKPB2-JK_B2-Weekday-02-SDon,1,1,1,1,1,0,0,20220329,20220624
JKPB2-JK_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
JKPB2-JK_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
LGPB2-LG_B2-Weekday-02,1,1,1,1,1,0,0,20220329,20220624
LGPB2-LG_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
LGPB2-LG_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
SCPB2-SC_B2-Weekday-52-SDon,1,1,1,1,1,0,0,20220329,20220624
SCPB2-SC_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
SCPB2-SC_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
YOPB2-YO_B2-Weekday-02,1,1,1,1,1,0,0,20220329,20220624
YOPB2-YO_B2-Saturday-02,0,0,0,0,0,1,0,20220402,20220625
YOPB2-YO_B2-Sunday-02,0,0,0,0,0,0,1,20220403,20220619
