route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q64,BPPB2-BP_B2-Weekday-02,32974373-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974374-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974375-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974376-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974377-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974378-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974379-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974380-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974381-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974382-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974383-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974384-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974385-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974386-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974387-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974389-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640098
Q64,BPPB2-BP_B2-Weekday-02,32974391-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640098
Q64,BPPB2-BP_B2-Weekday-02,32974392-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319525,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974393-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319525,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974395-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319734,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974396-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319734,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974397-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319734,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974398-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319711,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974399-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319711,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974400-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319711,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974401-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319711,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974402-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319711,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974404-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974405-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974406-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974407-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974408-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974409-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974410-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974411-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974412-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974413-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974414-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974415-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974416-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974417-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974418-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
Q64,BPPB2-BP_B2-Weekday-02,32974419-BPPB2-BP_B2-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,6319526,Q640096
Q64,BPPB2-BP_B2-Weekday-02,32974420-BPPB2-BP_B2-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,6319526,Q640095
