from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,245979624597964+241907+0,245979624597964+241705+0,1,
124,124,,,245979624597974+242022+0,245979624597964+241705+0,1,
124,124,,,245979624597974+241913+0,245979624597964+241712+0,1,
124,124,,,245979624597964+241960+0,245979624597964+241740+0,1,
124,124,,,245979624597974+242087+0,245979624597964+241748+0,1,
124,124,,,245979624597964+241971+0,245979624597964+241757+0,1,
124,124,,,245979624597974+242043+0,245979624597964+241757+0,1,
124,124,,,245979624597974+241982+0,245979624597964+241774+0,1,
124,124,,,245979624597974+242047+0,245979624597964+241774+0,1,
124,124,,,245979624597974+241655+0,245979624597964+241793+0,1,
124,124,,,245979624597974+241676+0,245979624597964+241858+0,1,
124,124,,,245979624597974+241685+0,245979624597964+241869+0,1,
124,124,,,245979624597974+241695+1,245979624597964+241892+1,1,
124,124,,,245979624597974+242019+0,245979624597964+241898+0,1,
131,131,,,245979624597974+242071+0,245979624597964+241898+0,1,
124,124,,,245979624597974+242022+0,245979624597964+241907+0,1,
124,124,,,245979624597974+242030+0,245979624597964+241931+0,1,
124,124,,,245979624597974+241726+1,245979624597964+241944+1,1,
140,140,,,245979624597974+242118+0,245979624597964+241949+0,1,
140,140,,,245979624597974+242120+0,245979624597964+241960+0,1,
124,124,,,245979624597974+242043+0,245979624597964+241971+0,1,
140,140,,,245979624597974+242123+0,245979624597964+241971+0,1,
124,124,,,245979624597964+241760+0,245979624597964+241975+0,1,
124,124,,,245979624597964+241768+0,245979624597964+241977+0,1,
76,76,,,245979624597974+242935+0,245979624597964+242519+0,1,
76,76,,,245979624597964+243058+0,245979624597964+242530+0,1,
76,76,,,245979624597974+243201+0,245979624597964+242626+0,1,
76,76,,,245979624597974+242422+0,245979624597964+242667+0,1,
94,94,,,245979624597974+244048+0,245979624597964+243058+0,1,
74,74,,,245979624597974+242319+1,245979624597964+243107+1,1,
76,76,,,245979624597974+242631+0,245979624597964+243204+0,1,
18,18,,,245979624597974+242343+0,245979624597964+243348+1,1,
33,33,,,245979624597974+243781+0,245979624597964+243432+0,1,
18,18,,,245979624597974+242365+0,245979624597964+243438+0,1,
33,33,,,245979624597974+243458+0,245979624597964+243920+0,1,
112,112,,,245979624597974+241687+0,245979624597974+241615+0,1,
112,112,,,245979624597974+241691+0,245979624597974+241616+0,1,
124,124,,,245979624597974+241816+0,245979624597974+241632+0,1,
124,124,,,245979624597974+242053+0,245979624597974+241632+0,1,
124,124,,,245979624597974+241820+0,245979624597974+241638+1,1,
124,124,,,245979624597974+241829+1,245979624597974+241646+1,1,
124,124,,,245979624597974+241835+1,245979624597974+241662+1,1,
124,124,,,245979624597974+241856+1,245979624597974+241681+1,1,
124,124,,,245979624597974+241867+1,245979624597974+241687+0,1,
124,124,,,245979624597974+241878+0,245979624597974+241691+0,1,
124,124,,,245979624597974+242011+0,245979624597974+241691+0,1,
124,124,,,245979624597974+241884+0,245979624597974+241697+0,1,
124,124,,,245979624597974+242013+0,245979624597974+241697+0,1,
124,124,,,245979624597974+241888+0,245979624597974+241698+0,1,
124,124,,,245979624597974+241890+0,245979624597974+241699+0,1,
124,124,,,245979624597974+242016+0,245979624597974+241699+0,1,
124,124,,,245979624597974+241894+0,245979624597974+241701+0,1,
124,124,,,245979624597964+241898+0,245979624597974+241702+0,1,
124,124,,,245979624597974+242019+0,245979624597974+241702+0,1,
124,124,,,245979624597974+241905+0,245979624597974+241703+0,1,
124,124,,,245979624597974+241916+0,245979624597974+241716+0,1,
124,124,,,245979624597974+242024+0,245979624597974+241716+0,1,
124,124,,,245979624597974+241919+0,245979624597974+241717+0,1,
124,124,,,245979624597974+241921+0,245979624597974+241718+0,1,
124,124,,,245979624597974+242026+0,245979624597974+241718+0,1,
124,124,,,245979624597964+241925+0,245979624597974+241720+0,1,
124,124,,,245979624597964+241931+0,245979624597974+241724+0,1,
124,124,,,245979624597974+242030+0,245979624597974+241724+0,1,
124,124,,,245979624597974+241938+0,245979624597974+241725+0,1,
124,124,,,245979624597974+241942+0,245979624597974+241730+0,1,
124,124,,,245979624597964+241949+0,245979624597974+241733+0,1,
124,124,,,245979624597974+241953+0,245979624597974+241734+0,1,
124,124,,,245979624597974+241957+0,245979624597974+241737+0,1,
124,124,,,245979624597974+241966+0,245979624597974+241745+0,1,
124,124,,,245979624597974+242040+0,245979624597974+241745+0,1,
124,124,,,245979624597974+241985+0,245979624597974+241777+0,1,
124,124,,,245979624597974+242050+0,245979624597974+241777+0,1,
124,124,,,245979624597974+242063+1,245979624597974+241802+1,1,
124,124,,,245979624597974+242013+0,245979624597974+241805+0,1,
124,124,,,245979624597974+242053+0,245979624597974+241816+0,1,
131,131,,,245979624597974+242093+0,245979624597974+241816+0,1,
140,140,,,245979624597974+242127+0,245979624597974+241816+0,1,
124,124,,,245979624597974+241633+0,245979624597974+241818+0,1,
124,124,,,245979624597974+241636+0,245979624597974+241819+0,1,
124,124,,,245979624597974+241786+0,245979624597974+241822+0,1,
124,124,,,245979624597974+241641+0,245979624597974+241823+1,1,
124,124,,,245979624597974+241644+1,245979624597974+241827+1,1,
140,140,,,245979624597974+242097+1,245979624597974+241832+1,1,
124,124,,,245979624597974+241647+1,245979624597974+241833+1,1,
124,124,,,245979624597974+241650+1,245979624597974+241837+1,1,
124,124,,,245979624597974+241652+1,245979624597974+241838+0,1,
124,124,,,245979624597974+241658+0,245979624597974+241841+0,1,
124,124,,,245979624597974+241660+0,245979624597974+241843+0,1,
124,124,,,245979624597974+241663+0,245979624597974+241844+0,1,
124,124,,,245979624597974+241665+0,245979624597974+241847+0,1,
140,140,,,245979624597974+242101+1,245979624597974+241848+1,1,
124,124,,,245979624597974+241668+0,245979624597974+241849+0,1,
124,124,,,245979624597974+241671+0,245979624597974+241851+0,1,
124,124,,,245979624597974+241673+0,245979624597974+241854+0,1,
124,124,,,245979624597974+241679+0,245979624597974+241862+0,1,
140,140,,,245979624597974+242104+1,245979624597974+241864+1,1,
124,124,,,245979624597974+241683+0,245979624597974+241865+0,1,
124,124,,,245979624597974+241689+0,245979624597974+241876+0,1,
124,124,,,245979624597974+242011+0,245979624597974+241878+0,1,
124,124,,,245979624597974+241693+0,245979624597974+241880+1,1,
131,131,,,245979624597974+241803+1,245979624597974+241882+1,1,
131,131,,,245979624597974+242069+0,245979624597974+241888+0,1,
140,140,,,245979624597974+242108+0,245979624597974+241888+0,1,
124,124,,,245979624597974+242016+0,245979624597974+241890+0,1,
140,140,,,245979624597974+242111+0,245979624597974+241905+0,1,
131,131,,,245979624597974+242074+0,245979624597974+241913+0,1,
124,124,,,245979624597974+242024+0,245979624597974+241916+0,1,
140,140,,,245979624597974+242113+0,245979624597974+241919+0,1,
124,124,,,245979624597974+242026+0,245979624597974+241921+0,1,
131,131,,,245979624597974+242076+0,245979624597974+241921+0,1,
124,124,,,245979624597974+241709+1,245979624597974+241923+1,1,
140,140,,,245979624597974+242115+0,245979624597974+241938+0,1,
124,124,,,245979624597974+241721+1,245979624597974+241940+1,1,
131,131,,,245979624597974+242081+0,245979624597974+241942+0,1,
131,131,,,245979624597974+242083+0,245979624597974+241953+0,1,
124,124,,,245979624597974+241735+1,245979624597974+241955+0,1,
124,124,,,245979624597974+241738+0,245979624597974+241959+0,1,
124,124,,,245979624597974+241743+0,245979624597974+241964+0,1,
124,124,,,245979624597974+242040+0,245979624597974+241966+0,1,
124,124,,,245979624597974+241746+0,245979624597974+241968+0,1,
124,124,,,245979624597964+241751+0,245979624597974+241969+0,1,
124,124,,,245979624597974+242047+0,245979624597974+241982+0,1,
140,140,,,245979624597974+242125+0,245979624597974+241982+0,1,
124,124,,,245979624597974+242050+0,245979624597974+241985+0,1,
131,131,,,245979624597974+242091+0,245979624597974+241985+0,1,
124,124,,,245979624597974+241652+1,245979624597974+241999+0,1,
124,124,,,245979624597974+241838+0,245979624597974+241999+0,1,
124,124,,,245979624597974+241658+0,245979624597974+242000+0,1,
124,124,,,245979624597974+241841+0,245979624597974+242000+0,1,
124,124,,,245979624597974+241663+0,245979624597974+242001+0,1,
124,124,,,245979624597974+241844+0,245979624597974+242001+0,1,
124,124,,,245979624597974+241668+0,245979624597974+242003+0,1,
124,124,,,245979624597974+241849+0,245979624597974+242003+0,1,
124,124,,,245979624597974+241673+0,245979624597974+242004+0,1,
124,124,,,245979624597974+241854+0,245979624597974+242004+0,1,
124,124,,,245979624597974+241679+0,245979624597974+242006+0,1,
124,124,,,245979624597974+241862+0,245979624597974+242006+0,1,
124,124,,,245979624597964+241869+0,245979624597974+242008+0,1,
124,124,,,245979624597974+241685+0,245979624597974+242008+0,1,
124,124,,,245979624597974+241709+1,245979624597974+242028+1,1,
124,124,,,245979624597974+241735+1,245979624597974+242038+0,1,
124,124,,,245979624597974+241955+0,245979624597974+242038+0,1,
124,124,,,245979624597974+241743+0,245979624597974+242039+0,1,
124,124,,,245979624597974+241964+0,245979624597974+242039+0,1,
124,124,,,245979624597964+241751+0,245979624597974+242042+0,1,
124,124,,,245979624597974+241969+0,245979624597974+242042+0,1,
124,124,,,245979624597974+241987+0,245979624597974+242052+0,1,
131,131,,,245979624597974+241823+1,245979624597974+242055+0,1,
131,131,,,245979624597974+241833+1,245979624597974+242057+0,1,
131,131,,,245979624597964+241793+0,245979624597974+242058+0,1,
131,131,,,245979624597974+241844+0,245979624597974+242060+0,1,
131,131,,,245979624597974+241854+0,245979624597974+242061+0,1,
131,131,,,245979624597964+241869+0,245979624597974+242065+0,1,
124,124,,,245979624597974+241685+0,245979624597974+242065+0,1,
131,131,,,245979624597974+241803+1,245979624597974+242067+0,1,
131,131,,,245979624597974+241882+1,245979624597974+242067+0,1,
131,131,,,245979624597974+241940+1,245979624597974+242080+0,1,
131,131,,,245979624597974+241969+0,245979624597974+242089+0,1,
140,140,,,245979624597974+241784+0,245979624597974+242095+0,1,
140,140,,,245979624597974+241827+1,245979624597974+242096+0,1,
140,140,,,245979624597974+241838+0,245979624597974+242099+0,1,
140,140,,,245979624597974+241844+0,245979624597974+242100+0,1,
140,140,,,245979624597974+241851+0,245979624597974+242103+0,1,
140,140,,,245979624597974+241865+0,245979624597974+242106+0,1,
140,140,,,245979624597974+241880+1,245979624597974+242107+0,1,
140,140,,,245979624597974+241903+1,245979624597974+242110+0,1,
140,140,,,245979624597974+241940+1,245979624597974+242117+0,1,
140,140,,,245979624597974+241969+0,245979624597974+242122+0,1,
76,76,,,245979624597974+242650+1,245979624597974+242277+1,1,
74,74,,,245979624597974+242653+1,245979624597974+242278+1,1,
74,74,,,245979624597974+242346+1,245979624597974+242285+1,1,
76,76,,,245979624597974+242656+1,245979624597974+242285+1,1,
74,74,,,245979624597974+242663+1,245979624597974+242287+1,1,
74,74,,,245979624597974+243934+1,245979624597974+242287+1,1,
62,62,,,245979624597974+242428+1,245979624597974+242288+1,1,
62,62,,,245979624597974+242671+1,245979624597974+242288+1,1,
74,74,,,245979624597974+242677+1,245979624597974+242290+1,1,
68,68,,,245979624597974+242452+1,245979624597974+242292+1,1,
68,68,,,245979624597974+242475+1,245979624597974+242293+0,1,
76,76,,,245979624597974+242643+0,245979624597974+242329+0,1,
76,76,,,245979624597974+243116+0,245979624597974+242333+0,1,
76,76,,,245979624597974+243120+0,245979624597974+242334+0,1,
62,62,,,245979624597974+242330+1,245979624597974+242335+1,1,
20,20,,,245979624597974+242339+1,245979624597974+242341+1,1,
18,18,,,245979624597974+243335+1,245979624597974+242342+1,1,
94,94,,,245979624597974+242369+1,245979624597974+242346+1,1,
74,74,,,245979624597974+242507+1,245979624597974+242351+1,1,
