trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,platform_track
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:35:00,13:35:00,MTL2C,1,0,0,0.000,1,Voie 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:40:15,13:41:00,MTL1C,2,0,0,3.760,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:46:15,13:47:00,LCH1B,3,0,0,9.363,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:49:15,13:50:00,DVL2B,4,0,0,11.851,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:52:15,13:53:00,DVL1B,5,0,0,13.507,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:55:15,13:56:00,PCL3B,6,0,0,15.592,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,13:57:15,13:58:00,PCL2B,7,0,0,16.616,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:00:15,14:01:00,PCL1B,8,0,0,18.010,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:03:15,14:04:00,BEA2B,9,0,0,20.318,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:06:15,14:07:00,BEA1B,10,0,0,23.557,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:09:15,14:10:00,BUR1B,11,0,0,25.937,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:12:15,14:13:00,SAB1B,12,0,0,29.049,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:16:15,14:17:00,LIP1B,13,0,0,30.771,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:20:15,14:21:00,TVA1B,14,0,0,33.136,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:22:15,14:23:00,VAU1B,15,0,0,34.391,1,Quai 2
4083489-TRAIN-A24-TRKPI-Dimanche-01,14:30:00,14:30:00,VAU8B,16,1,0,38.128,1,Quai 1 et 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:35:00,17:35:00,MTL2C,1,0,0,0.000,1,Voie 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:40:15,17:41:00,MTL1C,2,0,0,3.760,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:46:15,17:47:00,LCH1B,3,0,0,9.363,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:49:15,17:50:00,DVL2B,4,0,0,11.851,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:52:15,17:53:00,DVL1B,5,0,0,13.507,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:55:15,17:56:00,PCL3B,6,0,0,15.592,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,17:57:15,17:58:00,PCL2B,7,0,0,16.616,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:00:15,18:01:00,PCL1B,8,0,0,18.010,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:03:15,18:04:00,BEA2B,9,0,0,20.318,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:06:15,18:07:00,BEA1B,10,0,0,23.557,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:09:15,18:10:00,BUR1B,11,0,0,25.937,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:12:15,18:13:00,SAB1B,12,0,0,29.049,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:16:15,18:17:00,LIP1B,13,0,0,30.771,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:20:15,18:21:00,TVA1B,14,0,0,33.136,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:22:15,18:23:00,VAU1B,15,0,0,34.391,1,Quai 2
4083490-TRAIN-A24-TRKPI-Dimanche-01,18:30:00,18:30:00,VAU8B,16,1,0,38.128,1,Quai 1 et 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:05:00,20:05:00,MTL2C,1,0,0,0.000,1,Voie 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:10:15,20:11:00,MTL1C,2,0,0,3.760,1,Quai 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:16:15,20:17:00,LCH1B,3,0,0,9.363,1,Quai 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:19:15,20:20:00,DVL2B,4,0,0,11.851,1,Quai 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:22:15,20:23:00,DVL1B,5,0,0,13.507,1,Quai 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:25:15,20:26:00,PCL3B,6,0,0,15.592,1,Quai 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:27:15,20:28:00,PCL2B,7,0,0,16.616,1,Quai 2
4083491-TRAIN-A24-TRKPI-Dimanche-01,20:30:15,20:31:00,PCL1B,8,0,0,18.010,1,Quai 2
