"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"25","25","","","0",""
"29","29","","","0",""
"92","92","","","0",""
"102","102","","","2","300"
"211","211","","","0",""
"215","215","","","0",""
"102","102","GO202_23_702","GO202_23_2","1",""
"102","102","GO202_23_1900","GO202_23_2","1",""
"102","102","GO202_23_814","GO202_23_4","1",""
"102","102","GO202_23_1612","GO202_23_4","1",""
"102","102","GO202_23_1294","GO202_23_8","1",""
"102","102","GO202_23_1520","GO202_23_8","1",""
"102","102","GO202_23_2064","GO202_23_18","1",""
"102","102","GO202_23_2152","GO202_23_18","1",""
"102","102","GO202_23_770","GO202_23_22","1",""
"102","102","GO202_23_874","GO202_23_22","1",""
"102","102","GO202_23_286","GO202_23_26","1",""
"102","102","GO202_23_2784","GO202_23_26","1",""
"27","27","GO202_23_31","GO202_23_217","1",""
"27","27","GO202_23_194","GO202_23_32","1",""
"27","27","GO202_23_136","GO202_23_36","1",""
"27","27","GO202_23_148","GO202_23_38","1",""
"27","27","GO202_23_168","GO202_23_40","1",""
"27","27","GO202_23_41","GO202_23_133","1",""
"102","102","GO202_23_1660","GO202_23_42","1",""
"27","27","GO202_23_43","GO202_23_167","1",""
"102","102","GO202_23_272","GO202_23_44","1",""
"27","27","GO202_23_180","GO202_23_46","1",""
"102","102","GO202_23_1584","GO202_23_48","1",""
"102","102","GO202_23_2788","GO202_23_48","1",""
"27","27","GO202_23_120","GO202_23_56","1",""
"27","27","GO202_23_57","GO202_23_229","1",""
"27","27","GO202_23_124","GO202_23_58","1",""
"27","27","GO202_23_59","GO202_23_139","1",""
"27","27","GO202_23_128","GO202_23_60","1",""
"27","27","GO202_23_61","GO202_23_143","1",""
"102","102","GO202_23_716","GO202_23_62","1",""
"102","102","GO202_23_1914","GO202_23_62","1",""
"27","27","GO202_23_63","GO202_23_147","1",""
"27","27","GO202_23_132","GO202_23_64","1",""
"27","27","GO202_23_67","GO202_23_155","1",""
"27","27","GO202_23_144","GO202_23_68","1",""
