service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101P,1,1,1,1,1,0,0,20221114,20231231
101C,1,1,1,1,1,0,0,20221114,20231231
101B,1,1,1,1,1,0,0,20221114,20231231
102,0,0,0,0,0,1,0,20221114,20231231
103,0,0,0,0,0,0,1,20221114,20231231
104,0,0,0,0,1,0,0,20221114,20231231
101PennR,0,0,0,0,0,0,0,20221114,20231231
101CamdenR,0,0,0,0,0,0,0,20221114,20231231
101BrunswickR,0,0,0,0,0,0,0,20221114,20231231
101PennRP,0,0,0,0,0,0,0,20221114,20231231
101CamdenRP,0,0,0,0,0,0,0,20221114,20231231
101BrunswickRP,0,0,0,0,0,0,0,20221114,20231231
