service_id,date,exception_type
104,20221123,1
101P,20221124,2
101P,20221125,2
102,20221125,1
104,20221125,2
101B,20221215,2
101BrunswickR,20221215,1
103,20221225,2
101P,20221226,2
103,20221226,1
103,20230101,2
101P,20230102,2
103,20230102,1
101P,20230116,2
101C,20230116,2
101B,20230116,2
101PennR,20230116,1
101BrunswickR,20230116,1
101CamdenR,20230116,1
101P,20230220,2
101C,20230220,2
101B,20230220,2
101PennR,20230220,1
101BrunswickR,20230220,1
101CamdenR,20230220,1
103,20230619,1
101P,20230619,2
101C,20230619,2
101B,20230619,2
102,20230704,1
101P,20230704,2
101C,20230704,2
101B,20230704,2
