service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20230530, 20241117
A2, 0, 0, 0, 0, 0, 1, 1, 20230530, 20241117
A3, 0, 0, 0, 0, 0, 1, 0, 20230530, 20241117
A4, 0, 0, 0, 0, 0, 0, 1, 20230530, 20241117
B1, 1, 1, 1, 1, 1, 0, 0, 20241118, 20241124
B2, 0, 0, 0, 0, 0, 1, 1, 20241118, 20241124
B3, 0, 0, 0, 0, 0, 1, 0, 20241118, 20241124
B4, 0, 0, 0, 0, 0, 0, 1, 20241118, 20241124
C1, 1, 1, 1, 1, 1, 0, 0, 20241125, 20241201
C2, 0, 0, 0, 0, 0, 1, 1, 20241125, 20241201
C3, 0, 0, 0, 0, 0, 1, 0, 20241125, 20241201
C4, 0, 0, 0, 0, 0, 0, 1, 20241125, 20241201
D1, 1, 1, 1, 1, 1, 0, 0, 20241202, 20241208
D2, 0, 0, 0, 0, 0, 1, 1, 20241202, 20241208
D3, 0, 0, 0, 0, 0, 1, 0, 20241202, 20241208
D4, 0, 0, 0, 0, 0, 0, 1, 20241202, 20241208
A1A, 1, 1, 1, 1, 1, 0, 0, 20241209, 20251231
A2A, 0, 0, 0, 0, 0, 1, 1, 20241209, 20251231
A3A, 0, 0, 0, 0, 0, 1, 0, 20241209, 20251231
A4A, 0, 0, 0, 0, 0, 0, 1, 20241209, 20251231
E2, 0, 0, 0, 0, 0, 0, 1, 20241124, 20241124
E4, 0, 0, 0, 0, 0, 0, 1, 20241124, 20241124
F1, 0, 0, 0, 0, 1, 0, 0, 20241129, 20241129
G2, 0, 0, 0, 0, 0, 0, 1, 20241201, 20241201
G4, 0, 0, 0, 0, 0, 0, 1, 20241201, 20241201
