from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246068224606934+1053959+1,246068224606924+1053962+1,1,
20,20,,,246070324607215+1053959+1,246067924608125+1053963+1,1,
20,20,,,246073124608123+1053959+1,246073124608113+1053962+1,1,
20,20,,,246064724606653+1053959+1,246064724606643+1053962+1,1,
20,20,,,246067824606795+1053959+1,246067924608125+1053963+1,1,
20,20,,,246070324607213+1053959+1,246070324607203+1053962+1,1,
20,20,,,246064724606655+1053959+1,246065124606655+1053963+1,1,
20,20,,,246070324607212+1053959+1,246070324607202+1053962+1,1,
20,20,,,246072524607284+1053959+1,246072524607274+1053962+1,1,
20,20,,,246073124608121+1053959+1,246073124608111+1053962+1,1,
20,20,,,246066824606722+1053960+1,246066824606722+1053964+1,1,
20,20,,,246067524606762+1053960+1,246067524606762+1053964+1,1,
20,20,,,246064224606423+1053958+1,246064224606423+1053961+1,1,
20,20,,,246068224606931+1053959+1,246068224606921+1053962+1,1,
20,20,,,246068224606932+1053959+1,246068224606922+1053962+1,1,
20,20,,,246072524607282+1053959+1,246072524607272+1053962+1,1,
20,20,,,246072524607285+1053959+1,246067924608125+1053963+1,1,
20,20,,,246066824606724+1053960+1,246066824606724+1053964+1,1,
20,20,,,246066824606725+1053960+1,246066824606725+1053964+1,1,
20,20,,,246067824606794+1053959+1,246067824606784+1053962+1,1,
20,20,,,246069724607004+1053959+1,246069724606994+1053962+1,1,
20,20,,,246070324607214+1053959+1,246070324607204+1053962+1,1,
20,20,,,246066824606721+1053960+1,246066824606721+1053964+1,1,
20,20,,,246068224606935+1053959+1,246067924608125+1053963+1,1,
20,20,,,246069724607003+1053959+1,246069724606993+1053962+1,1,
20,20,,,246070324607211+1053959+1,246070324607201+1053962+1,1,
20,20,,,246073124608124+1053959+1,246073124608114+1053962+1,1,
20,20,,,246067524606761+1053960+1,246067524606761+1053964+1,1,
20,20,,,246064724606652+1053959+1,246064724606642+1053962+1,1,
20,20,,,246073124608122+1053959+1,246073124608112+1053962+1,1,
20,20,,,246073124608125+1053959+1,246067924608125+1053963+1,1,
20,20,,,246064724606651+1053959+1,246064724606641+1053962+1,1,
20,20,,,246064724606654+1053959+1,246064724606644+1053962+1,1,
20,20,,,246068224606933+1053959+1,246068224606923+1053962+1,1,
20,20,,,246069724607002+1053959+1,246069724606992+1053962+1,1,
20,20,,,246069724607005+1053959+1,246067924608125+1053963+1,1,
20,20,,,246072524607283+1053959+1,246072524607273+1053962+1,1,
20,20,,,246069724606993+1054027+1,246069724606993+1056782+1,1,
20,20,,,246070324607201+1054027+1,246070324607201+1056782+1,1,
20,20,,,246065124606655+1054028+1,246065124606655+1054116+1,1,
20,20,,,246067224606725+1054030+1,246067224606725+1054118+1,1,
20,20,,,246064724606643+1054027+1,246064724606643+1056782+1,1,
20,20,,,246069724606992+1054027+1,246069724606992+1056782+1,1,
20,20,,,246070324607203+1054027+1,246070324607203+1056782+1,1,
20,20,,,246072524607272+1054027+1,246072524607272+1056782+1,1,
20,20,,,246073124608113+1054027+1,246073124608113+1056782+1,1,
20,20,,,246068224606923+1054027+1,246068224606923+1056782+1,1,
20,20,,,246064724606644+1054027+1,246064724606644+1056782+1,1,
20,20,,,246067824606784+1054027+1,246067824606784+1056782+1,1,
20,20,,,246068224606924+1054027+1,246068224606924+1056782+1,1,
20,20,,,246072524607273+1054027+1,246072524607273+1056782+1,1,
20,20,,,246073124608112+1054027+1,246073124608112+1056782+1,1,
20,20,,,246068224606921+1054027+1,246068224606921+1056782+1,1,
20,20,,,246068224606922+1054027+1,246068224606922+1056782+1,1,
20,20,,,246070324607204+1054027+1,246070324607204+1056782+1,1,
20,20,,,246073124608114+1054027+1,246073124608114+1056782+1,1,
20,20,,,246064724606642+1054027+1,246064724606642+1056782+1,1,
20,20,,,246069724606994+1054027+1,246069724606994+1056782+1,1,
20,20,,,246070324607202+1054027+1,246070324607202+1056782+1,1,
20,20,,,246072524607274+1054027+1,246072524607274+1056782+1,1,
20,20,,,246067624606762+1054031+1,246067624606762+1056783+1,1,
20,20,,,246064224606423+1054026+1,246064224606423+1054115+1,1,
20,20,,,246064724606641+1054027+1,246064724606641+1056782+1,1,
20,20,,,246073124608111+1054027+1,246073124608111+1056782+1,1,
20,20,,,246067924608125+1054032+1,246067924608125+1054119+1,1,
33,33,,,246064524606736+1058044+0,246064524606736+1057556+0,1,
33,33,,,246064624606887+1058045+0,246068124606887+1057560+0,1,
33,33,,,246067024606773+1058046+0,246067024606773+1057558+0,1,
33,33,,,246070224607167+1058075+0,246070224607167+1057596+0,1,
33,33,,,246067024606773+1058089+0,246067024606773+1057624+0,1,
33,33,,,246066924606722+1058103+0,246066824606712+1056906+0,1,
33,33,,,246066924606725+1058103+0,246067224606725+1056907+0,1,
33,33,,,246070324607075+1058106+0,246067924608125+1056905+0,1,
33,33,,,246070224607167+1058130+0,246070224607167+1057697+0,1,
33,33,,,246072424607241+1058145+0,246072424607241+1057721+0,1,
33,33,,,246069524606957+1058168+0,246069524606957+1057750+0,1,
33,33,,,246070224607167+1058169+0,246070224607167+1057747+0,1,
33,33,,,246069624606961+1058173+0,246069624606961+1057755+0,1,
33,33,,,246073024608077+1058175+0,246073024608077+1057754+0,1,
33,33,,,246067924608125+1057486+0,246067924608125+1056847+0,1,
33,33,,,246066824606711+1057487+0,246066824606711+1056848+0,1,
33,33,,,246067524606751+1057487+0,246067524606761+1056848+0,1,
33,33,,,246069724607064+1057490+0,246069724607064+1056846+0,1,
33,33,,,246068224606921+1058193+0,246068224606921+1056923+0,1,
33,33,,,246073124608114+1058193+0,246073124608114+1056923+0,1,
33,33,,,246065124606655+1058194+0,246065124606655+1056924+0,1,
33,33,,,246067924608125+1058194+0,246067924608125+1056924+0,1,
33,33,,,246069724607064+1058197+0,246069724606994+1056923+0,1,
33,33,,,246069724607064+1058197+0,246070324607204+1056923+0,1,
33,33,,,246064724606642+1058205+0,246064724606642+1056935+0,1,
33,33,,,246064724606644+1058205+0,246064724606644+1056935+0,1,
33,33,,,246068224606921+1058205+0,246068224606921+1056935+0,1,
33,33,,,246069724607062+1058210+0,246070324607202+1056935+0,1,
33,33,,,246064724606641+1058213+0,246064724606641+1056944+0,1,
33,33,,,246064724606642+1058213+0,246064724606642+1056944+0,1,
33,33,,,246064724606644+1058213+0,246064724606644+1056944+0,1,
33,33,,,246068224606921+1058213+0,246068224606921+1056944+0,1,
33,33,,,246068224606922+1058213+0,246068224606922+1056944+0,1,
33,33,,,246069724606992+1058213+0,246069724606992+1056944+0,1,
33,33,,,246070324607202+1058213+0,246070324607202+1056944+0,1,
33,33,,,246073124608111+1058213+0,246073124608111+1056944+0,1,
33,33,,,246073124608113+1058213+0,246073124608113+1056944+0,1,
33,33,,,246067924608125+1058216+0,246067924608125+1056945+0,1,
33,33,,,246070324607203+1058225+0,246070324607203+1056956+0,1,
33,33,,,246073124608114+1058225+0,246073124608114+1056956+0,1,
33,33,,,246065124606655+1058226+0,246065124606655+1056957+0,1,
33,33,,,246068224606923+1058233+0,246068324608114+1056968+0,1,
33,33,,,246073124608111+1058233+0,246068324608112+1056968+0,1,
33,33,,,246066824606725+1058234+0,246065224606946+1057778+0,1,
33,33,,,246068624608125+1058234+0,246069624607016+1057778+0,1,
