service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
SA_merged_114770225,20230903,20240106,0,0,0,0,0,1,0
FR_3394,20230821,20230901,0,0,0,0,1,0,0
SA_3409,20230804,20230902,0,0,0,0,0,1,0
DPSWK_merged_114770220,20230903,20240106,1,1,1,1,1,0,0
SA_3394,20230821,20230901,0,0,0,0,0,1,0
MT_merged_114770215,20230528,20230902,1,1,1,1,0,0,0
SU_merged_114770217,20230528,20230902,0,0,0,0,0,0,1
MT_3409,20230804,20230902,1,1,1,1,0,0,0
FR_merged_114770212,20230528,20230902,0,0,0,0,1,0,0
WK_3394,20230821,20230901,1,1,1,1,1,0,0
MT_3394,20230821,20230901,1,1,1,1,0,0,0
FR_merged_114770219,20230903,20240106,0,0,0,0,1,0,0
WK_merged_114770221,20230903,20240106,1,1,1,1,1,0,0
P_Fri_merged_114770223,20230903,20240106,0,0,0,0,1,0,0
DPSWK_merged_114770213,20230528,20230902,1,1,1,1,1,0,0
WK_merged_114770214,20230528,20230902,1,1,1,1,1,0,0
SU_3394,20230821,20230901,0,0,0,0,0,0,1
MT_merged_114770222,20230903,20240106,1,1,1,1,0,0,0
SU_merged_114770224,20230903,20240106,0,0,0,0,0,0,1
WK_3409,20230804,20230902,1,1,1,1,1,0,0
FR_3409,20230804,20230902,0,0,0,0,1,0,0
SU_3409,20230804,20230902,0,0,0,0,0,0,1
SA_merged_114770218,20230528,20230902,0,0,0,0,0,1,0
P_Fri_merged_114770216,20230528,20230902,0,0,0,0,1,0,0
