service_id,date,exception_type
DPSWK_merged_114770220,20231123,2
DPSWK_merged_114770220,20231225,2
DPSWK_merged_114770220,20240101,2
DPSWK_merged_114770220,20230904,2
MT_merged_114770215,20230704,2
MT_merged_114770215,20230529,2
SU_merged_114770217,20230704,1
SU_merged_114770217,20230529,1
WK_merged_114770221,20231123,2
WK_merged_114770221,20231225,2
WK_merged_114770221,20240101,2
WK_merged_114770221,20230904,2
P_Fri_merged_114770223,20231123,2
P_Fri_merged_114770223,20231225,2
P_Fri_merged_114770223,20240101,2
P_Fri_merged_114770223,20230904,2
DPSWK_merged_114770213,20230704,2
DPSWK_merged_114770213,20230529,2
WK_merged_114770214,20230704,2
WK_merged_114770214,20230529,2
MT_merged_114770222,20231123,2
MT_merged_114770222,20231225,2
MT_merged_114770222,20240101,2
MT_merged_114770222,20230904,2
SU_merged_114770224,20231123,1
SU_merged_114770224,20231225,1
SU_merged_114770224,20240101,1
SU_merged_114770224,20230904,1
P_Fri_merged_114770216,20230704,2
P_Fri_merged_114770216,20230529,2
