trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
114460175,10:30:00,10:30:00,34667,1,,,1,,
114460175,10:34:00,10:34:00,34465,2,,,,,
114460175,10:39:00,10:39:00,34467,3,,,,,
114460175,10:43:00,10:43:00,34469,4,,,,,
114460175,10:46:00,10:46:00,34471,5,,,,,
114460175,10:52:00,10:52:00,34473,6,,,,,
114460175,10:55:00,10:55:00,34605,7,,,,,
114460175,11:07:00,11:07:00,34475,8,,1,,,
114460174,11:00:00,11:00:00,34667,1,,,1,,
114460174,11:04:00,11:04:00,34465,2,,,,,
114460174,11:09:00,11:09:00,34467,3,,,,,
114460174,11:13:00,11:13:00,34469,4,,,,,
114460174,11:16:00,11:16:00,34471,5,,,,,
114460174,11:22:00,11:22:00,34473,6,,,,,
114460174,11:25:00,11:25:00,34605,7,,,,,
114460174,11:37:00,11:37:00,34475,8,,1,,,
114460177,25:27:00,25:27:00,34476,1,,,1,,
114460177,25:36:00,25:36:00,34606,2,,,,,
114460177,25:40:00,25:40:00,34474,3,,,,,
114460177,25:46:00,25:46:00,34472,4,,,,,
114460177,25:49:00,25:49:00,34470,5,,,,,
114460177,25:53:00,25:53:00,34468,6,,,,,
114460177,25:58:00,25:58:00,34466,7,,,,,
114460177,26:04:00,26:04:00,34667,8,,1,,,
114460171,12:00:00,12:00:00,34667,1,,,1,,
114460171,12:04:00,12:04:00,34465,2,,,,,
114460171,12:09:00,12:09:00,34467,3,,,,,
114460171,12:13:00,12:13:00,34469,4,,,,,
114460171,12:16:00,12:16:00,34471,5,,,,,
114460171,12:22:00,12:22:00,34473,6,,,,,
114460171,12:25:00,12:25:00,34605,7,,,,,
114460171,12:37:00,12:37:00,34475,8,,1,,,
114460170,12:30:00,12:30:00,34667,1,,,1,,
114460170,12:34:00,12:34:00,34465,2,,,,,
114460170,12:39:00,12:39:00,34467,3,,,,,
114460170,12:43:00,12:43:00,34469,4,,,,,
114460170,12:46:00,12:46:00,34471,5,,,,,
114460170,12:52:00,12:52:00,34473,6,,,,,
114460170,12:55:00,12:55:00,34605,7,,,,,
114460170,13:07:00,13:07:00,34475,8,,1,,,
114460173,11:30:00,11:30:00,34667,1,,,1,,
114460173,11:34:00,11:34:00,34465,2,,,,,
114460173,11:39:00,11:39:00,34467,3,,,,,
114460173,11:43:00,11:43:00,34469,4,,,,,
114460173,11:46:00,11:46:00,34471,5,,,,,
114460173,11:52:00,11:52:00,34473,6,,,,,
114460173,11:55:00,11:55:00,34605,7,,,,,
114460173,12:07:00,12:07:00,34475,8,,1,,,
114460172,04:15:00,04:15:00,34667,1,,,1,,
114460172,04:19:00,04:19:00,34465,2,,,,,
114460172,04:24:00,04:24:00,34467,3,,,,,
114460172,04:28:00,04:28:00,34469,4,,,,,
114460172,04:31:00,04:31:00,34471,5,,,,,
114460172,04:37:00,04:37:00,34473,6,,,,,
114460172,04:40:00,04:40:00,34605,7,,,,,
114460172,04:52:00,04:52:00,34475,8,,1,,,
114460179,24:27:00,24:27:00,34476,1,,,1,,
114460179,24:36:00,24:36:00,34606,2,,,,,
114460179,24:40:00,24:40:00,34474,3,,,,,
114460179,24:46:00,24:46:00,34472,4,,,,,
114460179,24:49:00,24:49:00,34470,5,,,,,
114460179,24:53:00,24:53:00,34468,6,,,,,
114460179,24:58:00,24:58:00,34466,7,,,,,
114460179,25:04:00,25:04:00,34667,8,,1,,,
114460178,24:57:00,24:57:00,34476,1,,,1,,
114460178,25:06:00,25:06:00,34606,2,,,,,
114460178,25:10:00,25:10:00,34474,3,,,,,
114460178,25:16:00,25:16:00,34472,4,,,,,
114460178,25:19:00,25:19:00,34470,5,,,,,
114460178,25:23:00,25:23:00,34468,6,,,,,
114460178,25:28:00,25:28:00,34466,7,,,,,
114460178,25:34:00,25:34:00,34667,8,,1,,,
114448353,09:31:00,09:31:00,34781,1,,,1,,
114448353,09:35:00,09:35:00,34558,2,,,,,
114448353,09:39:00,09:39:00,34544,3,,,,,
114448353,09:42:00,09:42:00,34530,4,,,,,
114448353,09:45:00,09:45:00,34526,5,,,,,
114448353,09:49:00,09:49:00,34542,6,,,,,
114448353,09:52:00,09:52:00,34520,7,,,,,
114448353,09:58:00,09:58:00,34510,8,,1,,,
114448352,10:01:00,10:01:00,34781,1,,,1,,
114448352,10:05:00,10:05:00,34558,2,,,,,
114448352,10:09:00,10:09:00,34544,3,,,,,
114448352,10:12:00,10:12:00,34530,4,,,,,
114448352,10:15:00,10:15:00,34526,5,,,,,
114448352,10:19:00,10:19:00,34542,6,,,,,
114448352,10:22:00,10:22:00,34520,7,,,,,
114448352,10:28:00,10:28:00,34510,8,,1,,,
114448351,10:31:00,10:31:00,34781,1,,,1,,
114448351,10:35:00,10:35:00,34558,2,,,,,
114448351,10:39:00,10:39:00,34544,3,,,,,
114448351,10:42:00,10:42:00,34530,4,,,,,
114448351,10:45:00,10:45:00,34526,5,,,,,
114448351,10:49:00,10:49:00,34542,6,,,,,
114448351,10:52:00,10:52:00,34520,7,,,,,
114448351,10:58:00,10:58:00,34510,8,,1,,,
114448350,11:01:00,11:01:00,34781,1,,,1,,
114448350,11:05:00,11:05:00,34558,2,,,,,
114448350,11:09:00,11:09:00,34544,3,,,,,
114448350,11:12:00,11:12:00,34530,4,,,,,
114448350,11:15:00,11:15:00,34526,5,,,,,
114448350,11:19:00,11:19:00,34542,6,,,,,
114448350,11:22:00,11:22:00,34520,7,,,,,
114448350,11:28:00,11:28:00,34510,8,,1,,,
114448357,07:31:00,07:31:00,34781,1,,,1,,
114448357,07:35:00,07:35:00,34558,2,,,,,
114448357,07:39:00,07:39:00,34544,3,,,,,
114448357,07:42:00,07:42:00,34530,4,,,,,
114448357,07:45:00,07:45:00,34526,5,,,,,
114448357,07:49:00,07:49:00,34542,6,,,,,
114448357,07:52:00,07:52:00,34520,7,,,,,
114448357,07:58:00,07:58:00,34510,8,,1,,,
114448356,08:01:00,08:01:00,34781,1,,,1,,
114448356,08:05:00,08:05:00,34558,2,,,,,
114448356,08:09:00,08:09:00,34544,3,,,,,
114448356,08:12:00,08:12:00,34530,4,,,,,
114448356,08:15:00,08:15:00,34526,5,,,,,
114448356,08:19:00,08:19:00,34542,6,,,,,
114448356,08:22:00,08:22:00,34520,7,,,,,
114448356,08:28:00,08:28:00,34510,8,,1,,,
114448355,08:31:00,08:31:00,34781,1,,,1,,
114448355,08:35:00,08:35:00,34558,2,,,,,
114448355,08:39:00,08:39:00,34544,3,,,,,
114448355,08:42:00,08:42:00,34530,4,,,,,
114448355,08:45:00,08:45:00,34526,5,,,,,
114448355,08:49:00,08:49:00,34542,6,,,,,
114448355,08:52:00,08:52:00,34520,7,,,,,
114448355,08:58:00,08:58:00,34510,8,,1,,,
114448354,09:01:00,09:01:00,34781,1,,,1,,
114448354,09:05:00,09:05:00,34558,2,,,,,
114448354,09:09:00,09:09:00,34544,3,,,,,
114448354,09:12:00,09:12:00,34530,4,,,,,
114448354,09:15:00,09:15:00,34526,5,,,,,
114448354,09:19:00,09:19:00,34542,6,,,,,
114448354,09:22:00,09:22:00,34520,7,,,,,
114448354,09:28:00,09:28:00,34510,8,,1,,,
114448359,13:31:00,13:31:00,34781,1,,,1,,
114448359,13:35:00,13:35:00,34558,2,,,,,
114448359,13:39:00,13:39:00,34544,3,,,,,
114448359,13:42:00,13:42:00,34530,4,,,,,
114448359,13:45:00,13:45:00,34526,5,,,,,
114448359,13:49:00,13:49:00,34542,6,,,,,
114448359,13:52:00,13:52:00,34520,7,,,,,
114448359,13:58:00,13:58:00,34510,8,,1,,,
114448358,07:01:00,07:01:00,34781,1,,,1,,
114448358,07:05:00,07:05:00,34558,2,,,,,
114448358,07:09:00,07:09:00,34544,3,,,,,
114448358,07:12:00,07:12:00,34530,4,,,,,
114448358,07:15:00,07:15:00,34526,5,,,,,
114448358,07:19:00,07:19:00,34542,6,,,,,
