service_id,date,exception_type
GameDayService,20221028,1
GameDayService,20221103,1
GameDayService,20221107,1
GameDayService,20221109,1
GameDayService,20221111,1
GameDayService,20221114,1
GameDayService,20221116,1
GameDayService,20221125,1
GameDayService,20221130,1
GameDayService,20221205,1
GameDayService,20221207,1
GameDayService,20221214,1
GameDayService,20221227,1
GameDayService,20230104,1
GameDayService,20230105,1
GameDayService,20230120,1
GameDayService,20230123,1
GameDayService,20230125,1
GameDayService,20230207,1
GameDayService,20230209,1
GameDayService,20230223,1
GameDayService,20230307,1
GameDayService,20230309,1
GameDayService,20230321,1
GameDayService,20230323,1
GameDayService,20230404,1
GameDayService,20230406,1
Weekday_Oct19change,20230529,2
Weekday_Oct19change,20230704,2
Weekday_Oct19change,20230904,2
Weekday_Oct19change,20221124,2
Weekday_Oct19change,20231123,2
Weekday_Oct19change,20231225,2
FestiveFridays,20221125,1
FestiveFridays,20221202,1
FestiveFridays,20221209,1
FestiveFridays,20221216,1
FestiveFridays,20221223,1
FestiveFridays,20221230,1
SpecialSaturday,20230304,1
5KService,20230504,1
Weekday_Oct19change,20230829,2
Weekday_Oct19change,20230830,2
