trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
301,1,Weekday_Oct19change,Southbound,P301,1,1,1,1
302,1,Weekday_Oct19change,Northbound,P302,0,2,1,1
303,1,Weekday_Oct19change,Southbound,P303,1,1,1,1
304,1,Weekday_Oct19change,Northbound,P304,0,2,1,1
305,1,Weekday_Oct19change,Southbound,P305,1,1,1,1
306,1,Weekday_Oct19change,Northbound,P306,0,2,1,1
307,1,Weekday_Oct19change,Southbound,P307,1,1,1,1
308,1,Weekday_Oct19change,Northbound,P308,0,2,1,1
309,1,Weekday_Oct19change,Southbound,P309,1,1,1,1
310,1,Weekday_Oct19change,Northbound,P310,0,2,1,1
311,1,Weekday_Oct19change,Southbound,P311,1,1,1,1
312,1,Weekday_Oct19change,Northbound,P312,0,2,1,1
313,1,Weekday_Oct19change,Southbound,P313,1,1,1,1
314,1,Weekday_Oct19change,Northbound,P314,0,2,1,1
315,1,Weekday_Oct19change,Southbound,P315,1,1,1,1
316,1,Weekday_Oct19change,Northbound,P316,0,2,1,1
317,1,Weekday_Oct19change,Southbound,P317,1,1,1,1
318,1,Weekday_Oct19change,Northbound,P318,0,2,1,1
319,1,Weekday_Oct19change,Southbound,P319,1,1,1,1
320,1,Weekday_Oct19change,Northbound,P320,0,2,1,1
321,1,Weekday_Oct19change,Southbound,P321,1,1,1,1
322,1,Weekday_Oct19change,Northbound,P322,0,2,1,1
323,1,Weekday_Oct19change,Southbound,P323,1,1,1,1
324,1,Weekday_Oct19change,Northbound,P324,0,2,1,1
325,1,Weekday_Oct19change,Southbound,P325,1,1,1,1
326,1,Weekday_Oct19change,Northbound,P326,0,2,1,1
327,1,Weekday_Oct19change,Southbound,P327,1,1,1,1
328,1,Weekday_Oct19change,Northbound,P328,0,2,1,1
329,1,Weekday_Oct19change,Southbound,P329,1,1,1,1
330,1,Weekday_Oct19change,Northbound,P330,0,2,1,1
331,1,Weekday_Oct19change,Southbound,P331,1,1,1,1
332,1,Weekday_Oct19change,Northbound,P332,0,2,1,1
333,1,Weekday_Oct19change,Southbound,P333,1,1,1,1
334,1,Weekday_Oct19change,Northbound,P334,0,2,1,1
335,1,Weekday_Oct19change,Southbound,P335,1,1,1,1
336,1,Weekday_Oct19change,Northbound,P336,0,2,1,1
337,1,Weekday_Oct19change,Southbound,P337,1,1,1,1
338,1,Weekday_Oct19change,Northbound,P338,0,2,1,1
339,1,Weekday_Oct19change,Southbound,P339,1,1,1,1
340,1,Weekday_Oct19change,Northbound,P340,0,2,1,1
341,1,MagicTrain2425,Southbound,P341,1,1,1,1
342,1,BooTrain24,Northbound,P342,0,2,1,1
