service_id,date,exception_type
1,20220530,2
3,20220530,1
1,20220704,2
3,20220704,1
1,20220905,2
3,20220905,1
1,20221124,2
3,20221124,1
1,20230529,2
3,20230529,1
1,20230704,2
3,20230704,1
1,20230904,2
3,20230904,1
1,20231123,2
3,20231123,1
1,20231225,2
3,20231225,1
1,20240101,2
3,20240101,1
1,20240527,2
3,20240527,1
1,20240704,2
3,20240704,1
1,20240902,2
3,20240902,1
1,20241128,2
3,20241128,1
1,20241225,2
3,20241225,1
1,20250101,2
3,20250101,1
1,20250526,2
3,20250526,1
1,20250704,2
3,20250704,1
1,20250901,2
3,20250901,1
1,20251127,2
3,20251127,1
1,20251225,2
3,20251225,1
1,20260101,2
3,20260101,1
1,20260525,2
3,20260525,1
1,20260907,2
3,20260907,1
1,20261126,2
3,20261126,1
1,20261225,2
3,20261225,1
1,20270101,2
3,20270101,1
1,20270531,2
3,20270531,1
1,20270906,2
3,20270906,1
1,20271125,2
3,20271125,1
