shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,25.79593,-80.25825,1
1,25.7986,-80.25833,2
1,25.7999,-80.2584,3
1,25.80173,-80.25847,4
1,25.80593,-80.25855,5
1,25.80905,-80.25863,6
1,25.81008,-80.25868,7
1,25.81167,-80.2587,8
1,25.81586,-80.25882,9
1,25.81855,-80.25884,10
1,25.82004,-80.25888,11
1,25.82172,-80.25895,12
1,25.82363,-80.25901,13
1,25.83469,-80.25932,14
1,25.84367,-80.25955,15
1,25.84489,-80.25956,16
1,25.84569,-80.25959,17
1,25.84676,-80.2596,18
1,25.84723,-80.25962,19
1,25.85103,-80.25971,20
1,25.85516,-80.25986,21
1,25.85757,-80.25993,22
1,25.88376,-80.26042,23
1,25.89075,-80.26054,24
1,25.8925,-80.26047,25
1,25.89423,-80.25999,26
1,25.89584,-80.25908,27
1,25.89721,-80.25778,28
1,25.89828,-80.25618,29
1,25.9114,-80.2297,30
1,25.91443,-80.22532,31
1,25.92148,-80.21697,32
1,25.92256,-80.21564,33
1,25.92595,-80.21157,34
1,25.92907,-80.20789,35
1,25.93081,-80.20579,36
1,25.93464,-80.20126,37
1,25.93884,-80.19623,38
1,25.95198,-80.18058,39
1,25.95411,-80.17802,40
1,25.95605,-80.17538,41
1,25.95976,-80.17029,42
1,25.96141,-80.16828,43
1,25.96232,-80.16754,44
1,25.96347,-80.16687,45
1,25.96463,-80.16647,46
1,25.96586,-80.16625,47
1,25.96838,-80.16629,48
1,25.97676,-80.1666,49
1,25.97983,-80.16669,50
1,25.98688,-80.16695,51
1,26.0033,-80.1675,52
1,26.00878,-80.16758,53
1,26.01241,-80.16765,54
1,26.01322,-80.16765,55
1,26.0196,-80.1678,56
1,26.02169,-80.16787,57
1,26.0328,-80.1681,58
1,26.04162,-80.16828,59
1,26.04323,-80.16823,60
1,26.04491,-80.16802,61
1,26.04885,-80.16747,62
1,26.05119,-80.1671,63
1,26.05834,-80.16612,64
1,26.061,-80.16577,65
1,26.06165,-80.16568,66
1,26.062,-80.16562,67
1,26.06338,-80.16543,68
1,26.06466,-80.16538,69
1,26.06592,-80.16553,70
1,26.06832,-80.1662,71
1,26.06956,-80.16658,72
1,26.07368,-80.16858,73
1,26.07559,-80.16913,74
1,26.08006,-80.1702,75
1,26.08238,-80.17035,76
1,26.08463,-80.16989,77
1,26.08687,-80.16932,78
1,26.08913,-80.16913,79
1,26.09134,-80.16914,80
