trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Weekday-Southbound_T01,03:50:00,03:50:00,1,1,West Palm Beach Station,,,,,,1
Weekday-Southbound_T01,03:56:00,03:56:00,2,2,Lake Worth Station,,,,,,1
Weekday-Southbound_T01,04:05:00,04:05:00,3,3,Boynton Beach Station,,,,,,1
Weekday-Southbound_T01,04:12:00,04:12:00,4,4,Delray Beach Station,,,,,,1
Weekday-Southbound_T01,04:21:00,04:21:00,5,5,Boca Raton Station,,,,,,1
Weekday-Southbound_T01,04:28:00,04:28:00,6,6,Deerfield Beach Station,,,,,,1
Weekday-Southbound_T01,04:35:00,04:35:00,7,7,Pompano Beach Station,,,,,,1
Weekday-Southbound_T01,04:41:00,04:41:00,8,8,Cypress Creek Station,,,,,,1
Weekday-Southbound_T01,04:48:00,04:48:00,9,9,Fort Lauderdale Station,,,,,,1
Weekday-Southbound_T01,04:55:00,04:55:00,10,10,Ft Lauderdale Airport Station,,,,,,1
Weekday-Southbound_T01,05:02:00,05:02:00,11,11,Sheridan Street Station,,,,,,1
Weekday-Southbound_T01,05:06:00,05:06:00,12,12,Hollywood Station,,,,,,1
Weekday-Southbound_T01,05:10:00,05:10:00,13,13,Golden Glades Station,,,,,,1
Weekday-Southbound_T01,05:19:00,05:19:00,14,14,Opa-Locka Station,,,,,,1
Weekday-Southbound_T01,05:24:00,05:24:00,15,15,Metrorail Transfer Station,,,,,,1
Weekday-Southbound_T01,05:30:00,05:30:00,16,16,Hialeah Market Station,,,,,,1
Weekday-Southbound_T01,05:36:00,05:36:00,17,17,Miami Airport Station,,,,,,1
Weekday-Southbound_T01,05:45:00,05:45:00,18,18,,,,,,,1
Weekday-Southbound_T02,04:50:00,04:50:00,1,1,West Palm Beach Station,,,,,,1
Weekday-Southbound_T02,04:56:00,04:56:00,2,2,Lake Worth Station,,,,,,1
Weekday-Southbound_T02,05:05:00,05:05:00,3,3,Boynton Beach Station,,,,,,1
Weekday-Southbound_T02,05:12:00,05:12:00,4,4,Delray Beach Station,,,,,,1
Weekday-Southbound_T02,05:21:00,05:21:00,5,5,Boca Raton Station,,,,,,1
Weekday-Southbound_T02,05:28:00,05:28:00,6,6,Deerfield Beach Station,,,,,,1
Weekday-Southbound_T02,05:35:00,05:35:00,7,7,Pompano Beach Station,,,,,,1
Weekday-Southbound_T02,05:41:00,05:41:00,8,8,Cypress Creek Station,,,,,,1
Weekday-Southbound_T02,05:48:00,05:48:00,9,9,Fort Lauderdale Station,,,,,,1
Weekday-Southbound_T02,05:55:00,05:55:00,10,10,Ft Lauderdale Airport Station,,,,,,1
Weekday-Southbound_T02,06:02:00,06:02:00,11,11,Sheridan Street Station,,,,,,1
Weekday-Southbound_T02,06:06:00,06:06:00,12,12,Hollywood Station,,,,,,1
Weekday-Southbound_T02,06:10:00,06:10:00,13,13,Golden Glades Station,,,,,,1
Weekday-Southbound_T02,06:19:00,06:19:00,14,14,Opa-Locka Station,,,,,,1
Weekday-Southbound_T02,06:24:00,06:24:00,15,15,Metrorail Transfer Station,,,,,,1
Weekday-Southbound_T02,06:30:00,06:30:00,16,16,Hialeah Market Station,,,,,,1
Weekday-Southbound_T02,06:36:00,06:36:00,17,17,Miami Airport Station,,,,,,1
Weekday-Southbound_T02,06:45:00,06:45:00,18,18,,,,,,,1
Weekday-Southbound_T03,05:20:00,05:20:00,1,1,West Palm Beach Station,,,,,,1
Weekday-Southbound_T03,05:26:00,05:26:00,2,2,Lake Worth Station,,,,,,1
Weekday-Southbound_T03,05:35:00,05:35:00,3,3,Boynton Beach Station,,,,,,1
Weekday-Southbound_T03,05:42:00,05:42:00,4,4,Delray Beach Station,,,,,,1
Weekday-Southbound_T03,05:51:00,05:51:00,5,5,Boca Raton Station,,,,,,1
Weekday-Southbound_T03,05:58:00,05:58:00,6,6,Deerfield Beach Station,,,,,,1
Weekday-Southbound_T03,06:05:00,06:05:00,7,7,Pompano Beach Station,,,,,,1
Weekday-Southbound_T03,06:11:00,06:11:00,8,8,Cypress Creek Station,,,,,,1
Weekday-Southbound_T03,06:18:00,06:18:00,9,9,Fort Lauderdale Station,,,,,,1
Weekday-Southbound_T03,06:25:00,06:25:00,10,10,Ft Lauderdale Airport Station,,,,,,1
Weekday-Southbound_T03,06:32:00,06:32:00,11,11,Sheridan Street Station,,,,,,1
Weekday-Southbound_T03,06:36:00,06:36:00,12,12,Hollywood Station,,,,,,1
Weekday-Southbound_T03,06:40:00,06:40:00,13,13,Golden Glades Station,,,,,,1
Weekday-Southbound_T03,06:49:00,06:49:00,14,14,Opa-Locka Station,,,,,,1
Weekday-Southbound_T03,06:54:00,06:54:00,15,15,Metrorail Transfer Station,,,,,,1
Weekday-Southbound_T03,07:00:00,07:00:00,16,16,Hialeah Market Station,,,,,,1
Weekday-Southbound_T03,07:06:00,07:06:00,17,17,Miami Airport Station,,,,,,1
Weekday-Southbound_T03,07:15:00,07:15:00,18,18,,,,,,,1
Weekday-Southbound_T04,05:45:00,05:45:00,1,1,West Palm Beach Station,,,,,,1
Weekday-Southbound_T04,05:51:00,05:51:00,2,2,Lake Worth Station,,,,,,1
Weekday-Southbound_T04,06:00:00,06:00:00,3,3,Boynton Beach Station,,,,,,1
Weekday-Southbound_T04,06:07:00,06:07:00,4,4,Delray Beach Station,,,,,,1
Weekday-Southbound_T04,06:16:00,06:16:00,5,5,Boca Raton Station,,,,,,1
Weekday-Southbound_T04,06:23:00,06:23:00,6,6,Deerfield Beach Station,,,,,,1
Weekday-Southbound_T04,06:30:00,06:30:00,7,7,Pompano Beach Station,,,,,,1
Weekday-Southbound_T04,06:36:00,06:36:00,8,8,Cypress Creek Station,,,,,,1
Weekday-Southbound_T04,06:43:00,06:43:00,9,9,Fort Lauderdale Station,,,,,,1
Weekday-Southbound_T04,06:50:00,06:50:00,10,10,Ft Lauderdale Airport Station,,,,,,1
Weekday-Southbound_T04,06:57:00,06:57:00,11,11,Sheridan Street Station,,,,,,1
Weekday-Southbound_T04,07:01:00,07:01:00,12,12,Hollywood Station,,,,,,1
Weekday-Southbound_T04,07:05:00,07:05:00,13,13,Golden Glades Station,,,,,,1
Weekday-Southbound_T04,07:14:00,07:14:00,14,14,Opa-Locka Station,,,,,,1
Weekday-Southbound_T04,07:19:00,07:19:00,15,15,Metrorail Transfer Station,,,,,,1
Weekday-Southbound_T04,07:25:00,07:25:00,16,16,Hialeah Market Station,,,,,,1
Weekday-Southbound_T04,07:31:00,07:31:00,17,17,Miami Airport Station,,,,,,1
Weekday-Southbound_T04,07:40:00,07:40:00,18,18,,,,,,,1
Weekday-Southbound_T05,06:30:00,06:30:00,1,1,West Palm Beach Station,,,,,,1
Weekday-Southbound_T05,06:36:00,06:36:00,2,2,Lake Worth Station,,,,,,1
Weekday-Southbound_T05,06:45:00,06:45:00,3,3,Boynton Beach Station,,,,,,1
Weekday-Southbound_T05,06:52:00,06:52:00,4,4,Delray Beach Station,,,,,,1
Weekday-Southbound_T05,07:01:00,07:01:00,5,5,Boca Raton Station,,,,,,1
Weekday-Southbound_T05,07:08:00,07:08:00,6,6,Deerfield Beach Station,,,,,,1
Weekday-Southbound_T05,07:15:00,07:15:00,7,7,Pompano Beach Station,,,,,,1
Weekday-Southbound_T05,07:21:00,07:21:00,8,8,Cypress Creek Station,,,,,,1
Weekday-Southbound_T05,07:28:00,07:28:00,9,9,Fort Lauderdale Station,,,,,,1
Weekday-Southbound_T05,07:35:00,07:35:00,10,10,Ft Lauderdale Airport Station,,,,,,1
Weekday-Southbound_T05,07:42:00,07:42:00,11,11,Sheridan Street Station,,,,,,1
