route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,MTWTF,Weekday-Southbound_T01,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T02,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T03,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T04,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T05,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T06,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T07,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T08,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T09,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T10,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T11,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T12,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T13,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T14,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T15,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T16,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T17,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T18,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T19,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T20,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T21,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T22,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T23,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T24,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T25,Miami Airport Station,0,,2,1,1
1,MTWTF,Weekday-Southbound_T26,Miami Airport Station,0,,2,1,1
2,MTWTF,Downtown Miami Link - Southbound_T01,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T02,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T03,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T04,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T05,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T06,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T07,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T08,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T09,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T10,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T11,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T12,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Southbound_T13,Miami Central Station,0,,3,1,1
2,MTWTF,Downtown Miami Link - Northbound_T01,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T02,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T03,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T04,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T05,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T06,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T07,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T08,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T09,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T10,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T11,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T12,Metrorail Transfer Station,1,,4,1,1
2,MTWTF,Downtown Miami Link - Northbound_T13,Metrorail Transfer Station,1,,4,1,1
1,MTWTF,Weekday-Northbound_T01,Mangonia Park Station,1,,1,1,1
1,MTWTF,Weekday-Northbound_T02,Mangonia Park Station,1,,1,1,1
1,MTWTF,Weekday-Northbound_T03,Mangonia Park Station,1,,1,1,1
1,MTWTF,Weekday-Northbound_T04,Mangonia Park Station,1,,1,1,1
1,MTWTF,Weekday-Northbound_T05,Mangonia Park Station,1,,1,1,1
