trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
300-Summer,04:52:00,04:52:00,dc8e2e569500000066c00b02130a0000,1,,,,0
300-Summer,05:03:00,05:03:00,0000000000000000000000000000000C,2,,,,10040
300-Summer,05:10:00,05:10:00,0000000000000000000000000000000B,3,,,,16676
300-Summer,05:16:00,05:16:00,0000000000000000000000000000000A,4,,,,24123
300-Summer,05:38:00,05:38:00,00000000000000000000000000000007,5,,,,58568
300-Summer,06:05:00,06:05:00,00000000000000000000000000000004,6,,,,85392
300-Summer,06:14:00,06:14:00,00000000000000000000000000000003,7,,,,91926
300-Summer,06:22:00,06:22:00,00000000000000000000000000000002,8,,,,96031
300-Summer,06:30:00,06:30:00,00000000000000000000000000000001,9,,,,98955
301-Summer,13:00:00,13:00:00,00000000000000000000000000000001,1,,,,0
301-Summer,13:08:00,13:08:00,00000000000000000000000000000002,2,,,,2924
301-Summer,13:15:00,13:15:00,00000000000000000000000000000003,3,,,,7029
301-Summer,13:23:00,13:23:00,00000000000000000000000000000004,4,,,,13563
301-Summer,13:34:00,13:34:00,00000000000000000000000000000005,5,,,,25664
301-Summer,13:41:00,13:41:00,00000000000000000000000000000006,6,,,,33086
301-Summer,13:49:00,13:49:00,00000000000000000000000000000007,7,,,,40387
301-Summer,13:55:00,13:55:00,00000000000000000000000000000008,8,,,,45729
301-Summer,14:07:00,14:07:00,00000000000000000000000000000009,9,,,,57110
301-Summer,14:26:00,14:26:00,0000000000000000000000000000000A,10,,,,74832
301-Summer,14:35:00,14:35:00,0000000000000000000000000000000B,11,,,,82279
301-Summer,14:43:00,14:43:00,0000000000000000000000000000000C,12,,,,88915
301-Summer,14:56:00,14:56:00,dc8e2e569500000066c00b02130a0000,13,,,,98955
302-Summer,05:06:00,05:06:00,dc8e2e569500000066c00b02130a0000,1,,,,0
302-Summer,05:17:00,05:17:00,0000000000000000000000000000000C,2,,,,10040
302-Summer,05:24:00,05:24:00,0000000000000000000000000000000B,3,,,,16676
302-Summer,05:30:00,05:30:00,0000000000000000000000000000000A,4,,,,24123
302-Summer,05:42:00,05:42:00,00000000000000000000000000000009,5,,,,41845
302-Summer,05:51:00,05:51:00,00000000000000000000000000000008,6,,,,53226
302-Summer,05:58:00,05:58:00,00000000000000000000000000000007,7,,,,58568
302-Summer,06:05:00,06:05:00,00000000000000000000000000000006,8,,,,65869
302-Summer,06:13:00,06:13:00,00000000000000000000000000000005,9,,,,73291
302-Summer,06:25:00,06:25:00,00000000000000000000000000000004,10,,,,85392
302-Summer,06:34:00,06:34:00,00000000000000000000000000000003,11,,,,91926
302-Summer,06:42:00,06:42:00,00000000000000000000000000000002,12,,,,96031
302-Summer,06:50:00,06:50:00,00000000000000000000000000000001,13,,,,98955
303-Summer,14:40:00,14:40:00,00000000000000000000000000000001,1,,,,0
303-Summer,14:48:00,14:48:00,00000000000000000000000000000002,2,,,,2924
303-Summer,14:55:00,14:55:00,00000000000000000000000000000003,3,,,,7029
303-Summer,15:03:00,15:03:00,00000000000000000000000000000004,4,,,,13563
303-Summer,15:14:00,15:14:00,00000000000000000000000000000005,5,,,,25664
303-Summer,15:21:00,15:21:00,00000000000000000000000000000006,6,,,,33086
303-Summer,15:29:00,15:29:00,00000000000000000000000000000007,7,,,,40387
303-Summer,15:35:00,15:35:00,00000000000000000000000000000008,8,,,,45729
303-Summer,15:47:00,15:47:00,00000000000000000000000000000009,9,,,,57110
303-Summer,16:06:00,16:06:00,0000000000000000000000000000000A,10,,,,74832
303-Summer,16:15:00,16:15:00,0000000000000000000000000000000B,11,,,,82279
303-Summer,16:23:00,16:23:00,0000000000000000000000000000000C,12,,,,88915
303-Summer,16:36:00,16:36:00,dc8e2e569500000066c00b02130a0000,13,,,,98955
304-Summer,05:21:00,05:21:00,dc8e2e569500000066c00b02130a0000,1,,,,0
304-Summer,05:32:00,05:32:00,0000000000000000000000000000000C,2,,,,10040
304-Summer,05:39:00,05:39:00,0000000000000000000000000000000B,3,,,,16676
304-Summer,05:45:00,05:45:00,0000000000000000000000000000000A,4,,,,24123
304-Summer,05:57:00,05:57:00,00000000000000000000000000000009,5,,,,41845
304-Summer,06:06:00,06:06:00,00000000000000000000000000000008,6,,,,53226
304-Summer,06:13:00,06:13:00,00000000000000000000000000000007,7,,,,58568
304-Summer,06:20:00,06:20:00,00000000000000000000000000000006,8,,,,65869
304-Summer,06:28:00,06:28:00,00000000000000000000000000000005,9,,,,73291
304-Summer,06:40:00,06:40:00,00000000000000000000000000000004,10,,,,85392
304-Summer,06:49:00,06:49:00,00000000000000000000000000000003,11,,,,91926
304-Summer,06:57:00,06:57:00,00000000000000000000000000000002,12,,,,96031
304-Summer,07:05:00,07:05:00,00000000000000000000000000000001,13,,,,98955
305-Summer,15:30:00,15:30:00,00000000000000000000000000000001,1,,,,0
305-Summer,15:38:00,15:38:00,00000000000000000000000000000002,2,,,,2924
305-Summer,15:45:00,15:45:00,00000000000000000000000000000003,3,,,,7029
305-Summer,15:53:00,15:53:00,00000000000000000000000000000004,4,,,,13563
305-Summer,16:04:00,16:04:00,00000000000000000000000000000005,5,,,,25664
305-Summer,16:11:00,16:11:00,00000000000000000000000000000006,6,,,,33086
305-Summer,16:19:00,16:19:00,00000000000000000000000000000007,7,,,,40387
305-Summer,16:25:00,16:25:00,00000000000000000000000000000008,8,,,,45729
305-Summer,16:37:00,16:37:00,00000000000000000000000000000009,9,,,,57110
305-Summer,16:56:00,16:56:00,0000000000000000000000000000000A,10,,,,74832
305-Summer,17:05:00,17:05:00,0000000000000000000000000000000B,11,,,,82279
305-Summer,17:13:00,17:13:00,0000000000000000000000000000000C,12,,,,88915
305-Summer,17:26:00,17:26:00,dc8e2e569500000066c00b02130a0000,13,,,,98955
306-Summer,05:41:00,05:41:00,dc8e2e569500000066c00b02130a0000,1,,,,0
306-Summer,05:52:00,05:52:00,0000000000000000000000000000000C,2,,,,10040
306-Summer,05:59:00,05:59:00,0000000000000000000000000000000B,3,,,,16676
306-Summer,06:05:00,06:05:00,0000000000000000000000000000000A,4,,,,24123
306-Summer,06:17:00,06:17:00,00000000000000000000000000000009,5,,,,41845
306-Summer,06:26:00,06:26:00,00000000000000000000000000000008,6,,,,53226
306-Summer,06:33:00,06:33:00,00000000000000000000000000000007,7,,,,58568
306-Summer,06:40:00,06:40:00,00000000000000000000000000000006,8,,,,65869
306-Summer,06:48:00,06:48:00,00000000000000000000000000000005,9,,,,73291
306-Summer,07:00:00,07:00:00,00000000000000000000000000000004,10,,,,85392
306-Summer,07:09:00,07:09:00,00000000000000000000000000000003,11,,,,91926
306-Summer,07:17:00,07:17:00,00000000000000000000000000000002,12,,,,96031
