stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
00000000000000000000000000000004,,Alexandria,,38.80618,-77.06249,,,0,,
0000000000000000000000000000000D,,Backlick Road,,38.79699,-77.18407,,,0,,
00000000000000000000000000000012,,Broad Run,,38.72967,-77.52548,,,0,,
0000000000000000000000000000000A,,Brooke,,38.38725,-77.38128,,,0,,
0000000000000000000000000000000F,,Burke Center,,38.79743,-77.29874,,,0,,
00000000000000000000000000000003,,Crystal City,,38.85972,-77.04827,,,0,,
00000000000000000000000000000005,,Franconia / Springfield,,38.76615,-77.16812,,,0,,
0000000000000000000000000000000C,,Fredericksburg,,38.29825,-77.45683,,,0,,
00000000000000000000000000000002,,L Enfant,,38.88559,-77.0212,,,0,,
0000000000000000000000000000000B,,Leeland Road,,38.34707,-77.43782,,,0,,
00000000000000000000000000000006,,Lorton,,38.71567,-77.21387,,,0,,
00000000000000000000000000000011,,Manassas,,38.75022,-77.4725,,,0,,
00000000000000000000000000000010,,Manassas Park,,38.76596,-77.4403,,,0,,
00000000000000000000000000000009,,Quantico,,38.52169,-77.29323,,,0,,
00000000000000000000000000000008,,Rippon,,38.61237,-77.25349,,,0,,
0000000000000000000000000000000E,,Rolling Road,,38.79465,-77.25847,,,0,,
dc8e2e569500000066c00b02130a0000,,Spotsylvania,,38.22099,-77.44081,,,0,,
00000000000000000000000000000001,,Union Station,,38.89955,-77.00472,,,0,,
00000000000000000000000000000007,,Woodbridge,,38.65935,-77.248,,,0,,
